"Cliente" "Línea Negocio" "Póliza" "Prima Cobrada" "Fecha Suscipción" "Vigencia Desde" "Vigencia Hasta" "Prima Devengada" "Siniestros Pagados" "Siniestros Incurridos" "% Siniestralidad" "Fecha" "asesor"
"169" "Mrs. Bryn Corwin" "Salud" 478 454 2019-06-18 2019-06-28 2019-07-08 359 415 330 399.141435837373 2019-06-18 "Helena Wiegand"
"170" "Nick Wiegand" "Auto" 305 508 2019-06-19 2019-06-29 2019-07-09 235 90 215 447.944362694398 2019-06-19 "Luana Tillman"
"171" "Montie Nitzsche DDS" "Salud" 12 157 2019-06-20 2019-06-30 2019-07-10 498 183 241 30.5476689711213 2019-06-20 "Lovie Kertzmann"
"172" "Kiya Kemmer" "Personas" 443 77 2019-06-21 2019-07-01 2019-07-11 98 46 283 35.2710579056293 2019-06-21 "Lovie Kertzmann"
"173" "Mr. Paulo Tromp" "Fianzas" 153 57 2019-06-22 2019-07-02 2019-07-12 300 174 16 476.172224292532 2019-06-22 "Helena Wiegand"
"174" "Caiden Schaefer" "Personas" 262 453 2019-06-23 2019-07-03 2019-07-13 400 418 369 60.5786725413054 2019-06-23 "Aurore Shields"
"175" "Miss Stephaine O'Connell MD" "Auto" 235 41 2019-06-24 2019-07-04 2019-07-14 177 474 182 25.755229499191 2019-06-24 "Betsy Sporer PhD"
"176" "Edmond Mraz" "Personas" 161 40 2019-06-25 2019-07-05 2019-07-15 96 403 377 187.909148493782 2019-06-25 "Luana Tillman"
"177" "Gordon Homenick" "Auto" 484 298 2019-06-26 2019-07-06 2019-07-16 474 219 409 107.158323330805 2019-06-26 "Mr. Garth Raynor"
"178" "Rayshawn Rempel" "Auto" 288 527 2019-06-27 2019-07-07 2019-07-17 217 7 86 104.325143806636 2019-06-27 "Aurore Shields"
"179" "Aimee Oberbrunner MD" "Personas" 232 352 2019-06-28 2019-07-08 2019-07-18 352 521 373 356.089833844453 2019-06-28 "Mrs. Sheri Rippin PhD"
"180" "Mallory Leuschke" "Patrimoniales" 30 546 2019-06-29 2019-07-09 2019-07-19 49 512 539 245.833958359435 2019-06-29 "Mr. Garth Raynor"
"181" "Bryson Kuhn" "Patrimoniales" 257 152 2019-06-30 2019-07-10 2019-07-20 387 5 238 169.189472403377 2019-06-30 "Helena Wiegand"
"182" "Bose Ullrich-Lueilwitz" "Salud" 343 156 2019-07-01 2019-07-11 2019-07-21 80 353 252 151.73349478282 2019-07-01 "Mell Terry-Schowalter"
"183" "Corean Rempel-Smitham" "Patrimoniales" 297 410 2019-07-02 2019-07-12 2019-07-22 292 339 133 45.1501845382154 2019-07-02 "Luana Tillman"
"184" "Lannie Hansen" "Salud" 177 403 2019-07-03 2019-07-13 2019-07-23 551 457 197 267.607258306816 2019-07-03 "Lovie Kertzmann"
"185" "Harley Hintz" "Salud" 464 63 2019-07-04 2019-07-14 2019-07-24 119 193 204 190.265605039895 2019-07-04 "Helena Wiegand"
"186" "Bilal Denesik-Schowalter" "Salud" 206 485 2019-07-05 2019-07-15 2019-07-25 13 291 166 486.721952212974 2019-07-05 "Luana Tillman"
"187" "Mrs. Ansley Cummings" "Fianzas" 444 580 2019-07-06 2019-07-16 2019-07-26 341 310 180 349.365965276957 2019-07-06 "Aurore Shields"
"188" "Vernon Lubowitz" "Personas" 4 7 2019-07-07 2019-07-17 2019-07-27 260 316 191 353.56163168326 2019-07-07 "Betsy Sporer PhD"
"189" "Garvin Hirthe" "Salud" 492 188 2019-07-08 2019-07-18 2019-07-28 296 566 226 234.319589333609 2019-07-08 "Betsy Sporer PhD"
"190" "Nadia Frami" "Patrimoniales" 38 129 2019-07-09 2019-07-19 2019-07-29 45 327 338 375.41853133589 2019-07-09 "Aurore Shields"
"191" "Tyrese Casper" "Salud" 166 194 2019-07-10 2019-07-20 2019-07-30 423 381 431 530.008206283674 2019-07-10 "Mell Terry-Schowalter"
"192" "Judy Lebsack" "Patrimoniales" 78 327 2019-07-11 2019-07-21 2019-07-31 24 461 447 166.164679080248 2019-07-11 "Mell Terry-Schowalter"
"193" "Reason Prosacco" "Auto" 162 37 2019-07-12 2019-07-22 2019-08-01 373 359 397 58.9344135951251 2019-07-12 "Mrs. Sheri Rippin PhD"
"194" "Ean West" "Personas" 411 410 2019-07-13 2019-07-23 2019-08-02 161 541 442 226.294883759692 2019-07-13 "Aurore Shields"
"195" "Dr. Bishop Padberg" "Personas" 388 423 2019-07-14 2019-07-24 2019-08-03 482 393 207 592.333507491276 2019-07-14 "Aurore Shields"
"196" "Shatara Marvin-Lesch" "Salud" 318 476 2019-07-15 2019-07-25 2019-08-04 352 178 366 556.955728121102 2019-07-15 "Mell Terry-Schowalter"
"197" "Dr. Zachariah Koss" "Fianzas" 391 71 2019-07-16 2019-07-26 2019-08-05 317 71 84 562.119036493823 2019-07-16 "Betsy Sporer PhD"
"198" "Avery Willms-Ernser" "Personas" 38 549 2019-07-17 2019-07-27 2019-08-06 519 126 583 119.91891763173 2019-07-17 "Betsy Sporer PhD"
"199" "Georgina Dibbert" "Personas" 133 8 2019-07-18 2019-07-28 2019-08-07 422 70 136 357.480462826788 2019-07-18 "Lovie Kertzmann"
"200" "Neta Sawayn MD" "Personas" 221 575 2019-07-19 2019-07-29 2019-08-08 295 141 193 542.952339397743 2019-07-19 "Betsy Sporer PhD"
"201" "Lotta Borer-Schmidt" "Personas" 234 424 2019-07-20 2019-07-30 2019-08-09 375 539 461 31.9410854950547 2019-07-20 "Mrs. Sheri Rippin PhD"
"202" "Rory Predovic-Hudson" "Patrimoniales" 421 31 2019-07-21 2019-07-31 2019-08-10 184 387 553 186.965947877616 2019-07-21 "Aurore Shields"
"203" "Rafael Harvey-Ritchie" "Salud" 175 428 2019-07-22 2019-08-01 2019-08-11 169 545 182 433.774048648775 2019-07-22 "Mrs. Domenica Kuphal"
"204" "Mr. Ancel Bartell I" "Salud" 371 33 2019-07-23 2019-08-02 2019-08-12 505 166 54 497.774151898921 2019-07-23 "Mell Terry-Schowalter"
"205" "Zela Haley" "Fianzas" 99 507 2019-07-24 2019-08-03 2019-08-13 234 260 254 440.517892828211 2019-07-24 "Helena Wiegand"
"206" "Mertie Satterfield DVM" "Personas" 252 297 2019-07-25 2019-08-04 2019-08-14 89 99 555 227.617022953928 2019-07-25 "Mell Terry-Schowalter"
"207" "Grace Hane" "Fianzas" 242 333 2019-07-26 2019-08-05 2019-08-15 442 191 403 492.363424412906 2019-07-26 "Mrs. Domenica Kuphal"
"208" "Mr. Giancarlo Zboncak MD" "Personas" 206 310 2019-07-27 2019-08-06 2019-08-16 546 457 584 142.551669850945 2019-07-27 "Luana Tillman"
"209" "Fonda Runolfsdottir" "Personas" 545 358 2019-07-28 2019-08-07 2019-08-17 474 123 69 52.5629259645939 2019-07-28 "Betsy Sporer PhD"
"210" "Christeen Stracke" "Fianzas" 320 419 2019-07-29 2019-08-08 2019-08-18 399 352 177 322.284754319116 2019-07-29 "Luana Tillman"
"211" "Dorothy Gusikowski-Larson" "Personas" 546 369 2019-07-30 2019-08-09 2019-08-19 187 495 462 74.5268449187279 2019-07-30 "Helena Wiegand"
"212" "Maliah Hegmann" "Fianzas" 316 83 2019-07-31 2019-08-10 2019-08-20 155 91 11 327.088843239471 2019-07-31 "Miss Annis Ferry MD"
"213" "Shelbi Ward" "Salud" 500 579 2019-08-01 2019-08-11 2019-08-21 68 486 578 298.423176677898 2019-08-01 "Luana Tillman"
"214" "Evon Parisian" "Salud" 195 377 2019-08-02 2019-08-12 2019-08-22 330 407 438 463.316070847213 2019-08-02 "Luana Tillman"
"215" "Dr. Junius Gusikowski" "Fianzas" 121 155 2019-08-03 2019-08-13 2019-08-23 71 259 476 299.352269573137 2019-08-03 "Miss Annis Ferry MD"
"216" "Gayle Quitzon" "Fianzas" 424 196 2019-08-04 2019-08-14 2019-08-24 118 254 139 326.910286908969 2019-08-04 "Lovie Kertzmann"
"217" "Keanu Hahn-Baumbach" "Auto" 193 322 2019-08-05 2019-08-15 2019-08-25 235 304 416 390.078431926668 2019-08-05 "Mrs. Sheri Rippin PhD"
"218" "Odalis Johnston" "Auto" 51 336 2019-08-06 2019-08-16 2019-08-26 8 322 95 439.234057674184 2019-08-06 "Mrs. Domenica Kuphal"
"219" "Karri Heller" "Salud" 596 225 2019-08-07 2019-08-17 2019-08-27 530 226 446 324.057686934248 2019-08-07 "Mrs. Domenica Kuphal"
"220" "Houston Hilpert" "Personas" 550 307 2019-08-08 2019-08-18 2019-08-28 283 80 343 37.3113721143454 2019-08-08 "Mr. Garth Raynor"
"221" "Krystle Adams" "Personas" 273 103 2019-08-09 2019-08-19 2019-08-29 227 571 311 319.825557013974 2019-08-09 "Mell Terry-Schowalter"
"222" "Manie Gaylord" "Patrimoniales" 436 577 2019-08-10 2019-08-20 2019-08-30 463 240 302 491.189138079062 2019-08-10 "Helena Wiegand"
"223" "Kandace Herzog" "Salud" 227 565 2019-08-11 2019-08-21 2019-08-31 478 551 374 590.096930321306 2019-08-11 "Luana Tillman"
"224" "Rubi Huel" "Auto" 248 132 2019-08-12 2019-08-22 2019-09-01 501 83 392 40.099919680506 2019-08-12 "Mrs. Sheri Rippin PhD"
"225" "Dr. Velva Blick" "Auto" 204 25 2019-08-13 2019-08-23 2019-09-02 150 501 467 7.21829175017774 2019-08-13 "Lovie Kertzmann"
"226" "Benjamin White PhD" "Personas" 320 256 2019-08-14 2019-08-24 2019-09-03 20 134 275 63.49240494892 2019-08-14 "Lovie Kertzmann"
"227" "Zane Goodwin III" "Auto" 188 405 2019-08-15 2019-08-25 2019-09-04 347 50 190 484.535737428814 2019-08-15 "Betsy Sporer PhD"
"228" "Mr. Leeroy Hoeger Sr." "Patrimoniales" 498 476 2019-08-16 2019-08-26 2019-09-05 306 63 568 257.220171019435 2019-08-16 "Betsy Sporer PhD"
"229" "Kimber Medhurst PhD" "Auto" 585 37 2019-08-17 2019-08-27 2019-09-06 205 306 155 311.501492466778 2019-08-17 "Betsy Sporer PhD"
"230" "Dr. Harry Hermann II" "Auto" 433 217 2019-08-18 2019-08-28 2019-09-07 278 96 563 291.929549491033 2019-08-18 "Mell Terry-Schowalter"
"231" "Dr. Lute Rippin I" "Auto" 67 315 2019-08-19 2019-08-29 2019-09-08 497 44 582 491.241881484166 2019-08-19 "Mr. Garth Raynor"
"232" "Mr. Jeramiah Emmerich II" "Personas" 450 148 2019-08-20 2019-08-30 2019-09-09 257 151 324 317.959616845474 2019-08-20 "Mr. Garth Raynor"
"233" "Maeve Tromp" "Fianzas" 428 230 2019-08-21 2019-08-31 2019-09-10 532 532 110 33.180811163038 2019-08-21 "Aurore Shields"
"234" "Nancy Effertz" "Patrimoniales" 413 265 2019-08-22 2019-09-01 2019-09-11 474 359 190 66.2420907989144 2019-08-22 "Luana Tillman"
"235" "Rufus Beahan" "Personas" 503 374 2019-08-23 2019-09-02 2019-09-12 309 98 170 206.915408140048 2019-08-23 "Luana Tillman"
"236" "Wayde Towne" "Auto" 261 561 2019-08-24 2019-09-03 2019-09-13 208 560 246 293.279364192858 2019-08-24 "Betsy Sporer PhD"
"237" "Margarette Ferry DDS" "Salud" 185 235 2019-08-25 2019-09-04 2019-09-14 454 225 572 428.192483307794 2019-08-25 "Mrs. Domenica Kuphal"
"238" "Ms. Phebe Bins MD" "Patrimoniales" 162 403 2019-08-26 2019-09-05 2019-09-15 387 116 588 64.6480391733348 2019-08-26 "Aurore Shields"
"239" "Renae Littel DDS" "Personas" 142 473 2019-08-27 2019-09-06 2019-09-16 356 261 408 83.8828805834055 2019-08-27 "Mrs. Sheri Rippin PhD"
"240" "Mr. Ellery King II" "Salud" 195 266 2019-08-28 2019-09-07 2019-09-17 540 15 389 456.565331993625 2019-08-28 "Helena Wiegand"
"241" "Jay King" "Salud" 350 555 2019-08-29 2019-09-08 2019-09-18 451 437 448 283.109841914847 2019-08-29 "Helena Wiegand"
"242" "Marget Torp-Koch" "Salud" 366 39 2019-08-30 2019-09-09 2019-09-19 528 83 327 227.728656074032 2019-08-30 "Mrs. Sheri Rippin PhD"
"243" "Mrs. Azalee Hessel DVM" "Personas" 96 589 2019-08-31 2019-09-10 2019-09-20 118 292 97 249.045586399734 2019-08-31 "Luana Tillman"
"244" "Anthoney Gutmann" "Patrimoniales" 487 5 2019-09-01 2019-09-11 2019-09-21 417 405 122 179.471853096038 2019-09-01 "Mrs. Domenica Kuphal"
"245" "Amelia Connelly" "Personas" 373 94 2019-09-02 2019-09-12 2019-09-22 518 180 173 319.423052854836 2019-09-02 "Mrs. Sheri Rippin PhD"
"246" "Prosper Pouros" "Salud" 456 54 2019-09-03 2019-09-13 2019-09-23 164 380 327 385.625095339492 2019-09-03 "Mrs. Domenica Kuphal"
"247" "Wong Ledner" "Salud" 62 105 2019-09-04 2019-09-14 2019-09-24 539 175 467 380.944298906252 2019-09-04 "Luana Tillman"
"248" "Walter Skiles" "Personas" 60 371 2019-09-05 2019-09-15 2019-09-25 239 322 489 407.377955736592 2019-09-05 "Betsy Sporer PhD"
"249" "Mr. Beckham Rosenbaum" "Personas" 503 534 2019-09-06 2019-09-16 2019-09-26 474 480 511 174.595628259704 2019-09-06 "Betsy Sporer PhD"
"250" "Kaleigh Hills-Feeney" "Personas" 492 499 2019-09-07 2019-09-17 2019-09-27 318 332 40 550.649903761223 2019-09-07 "Betsy Sporer PhD"
"251" "Lucas Little-Prosacco" "Fianzas" 396 21 2019-09-08 2019-09-18 2019-09-28 406 144 62 234.726042905822 2019-09-08 "Mr. Garth Raynor"
"252" "Virgle Kautzer-Dietrich" "Patrimoniales" 282 242 2019-09-09 2019-09-19 2019-09-29 463 366 234 403.173055965453 2019-09-09 "Mrs. Domenica Kuphal"
"253" "Glynn Boyer" "Patrimoniales" 131 112 2019-09-10 2019-09-20 2019-09-30 271 223 390 291.790991043672 2019-09-10 "Mell Terry-Schowalter"
"254" "Tambra Bechtelar" "Patrimoniales" 112 375 2019-09-11 2019-09-21 2019-10-01 306 165 439 425.529517466202 2019-09-11 "Mr. Garth Raynor"
"255" "Ms. Rene Kuhic DDS" "Auto" 2 598 2019-09-12 2019-09-22 2019-10-02 561 268 502 458.953469060361 2019-09-12 "Miss Annis Ferry MD"
"256" "Dr. Neta Mueller PhD" "Salud" 537 74 2019-09-13 2019-09-23 2019-10-03 583 162 212 262.011832371354 2019-09-13 "Miss Annis Ferry MD"
"257" "Amiya Flatley" "Fianzas" 230 135 2019-09-14 2019-09-24 2019-10-04 211 26 468 577.030456764624 2019-09-14 "Mrs. Domenica Kuphal"
"258" "Le Hamill" "Auto" 499 345 2019-09-15 2019-09-25 2019-10-05 151 254 536 418.993957992643 2019-09-15 "Aurore Shields"
"259" "Meredith Osinski" "Personas" 475 535 2019-09-16 2019-09-26 2019-10-06 528 278 19 540.920883603394 2019-09-16 "Mrs. Domenica Kuphal"
"260" "Queenie Gulgowski" "Patrimoniales" 56 356 2019-09-17 2019-09-27 2019-10-07 595 373 495 85.4504241608083 2019-09-17 "Lovie Kertzmann"
"261" "Verona Waelchi" "Personas" 548 392 2019-09-18 2019-09-28 2019-10-08 148 275 90 95.0171323958784 2019-09-18 "Lovie Kertzmann"
"262" "Noble Daugherty" "Patrimoniales" 597 46 2019-09-19 2019-09-29 2019-10-09 201 208 62 361.683628102764 2019-09-19 "Luana Tillman"
"263" "Madisyn Gislason" "Personas" 244 165 2019-09-20 2019-09-30 2019-10-10 363 466 166 544.760627299547 2019-09-20 "Aurore Shields"
"264" "Miss Terry Eichmann" "Auto" 433 355 2019-09-21 2019-10-01 2019-10-11 257 115 200 598.464171309024 2019-09-21 "Mell Terry-Schowalter"
"265" "Miss Maida Conn" "Personas" 420 560 2019-09-22 2019-10-02 2019-10-12 424 523 576 443.528334936127 2019-09-22 "Mr. Garth Raynor"
"266" "Lige Wilderman" "Salud" 317 37 2019-09-23 2019-10-03 2019-10-13 103 558 131 42.5884990487248 2019-09-23 "Mrs. Domenica Kuphal"
"267" "Dr. Darryle Carter" "Auto" 166 509 2019-09-24 2019-10-04 2019-10-14 498 380 173 13.133004354313 2019-09-24 "Betsy Sporer PhD"
"268" "Claiborne Orn-Herzog" "Fianzas" 523 567 2019-09-25 2019-10-05 2019-10-15 287 67 303 262.856390699744 2019-09-25 "Mrs. Domenica Kuphal"
"269" "Minna Miller" "Personas" 352 100 2019-09-26 2019-10-06 2019-10-16 432 312 272 80.9798812028021 2019-09-26 "Aurore Shields"
"270" "Rush Windler" "Fianzas" 170 111 2019-09-27 2019-10-07 2019-10-17 212 341 163 516.343624424189 2019-09-27 "Helena Wiegand"
"271" "Mitzi Kling PhD" "Salud" 39 493 2019-09-28 2019-10-08 2019-10-18 312 486 582 121.480974275619 2019-09-28 "Mrs. Sheri Rippin PhD"
"272" "Miss Gena Abernathy" "Auto" 550 521 2019-09-29 2019-10-09 2019-10-19 131 144 368 192.544128326699 2019-09-29 "Miss Annis Ferry MD"
"273" "Amarion Aufderhar" "Personas" 53 244 2019-09-30 2019-10-10 2019-10-20 294 402 531 313.264295551926 2019-09-30 "Mell Terry-Schowalter"
"274" "Chase Kunde-Heathcote" "Fianzas" 81 252 2019-10-01 2019-10-11 2019-10-21 373 247 134 64.4010226707906 2019-10-01 "Mrs. Sheri Rippin PhD"
"275" "Alba Kuphal" "Salud" 506 2 2019-10-02 2019-10-12 2019-10-22 46 561 305 232.0055143442 2019-10-02 "Miss Annis Ferry MD"
"276" "Denton Baumbach" "Fianzas" 238 381 2019-10-03 2019-10-13 2019-10-23 281 267 0 195.052986452356 2019-10-03 "Betsy Sporer PhD"
"277" "Tonia Toy" "Fianzas" 481 537 2019-10-04 2019-10-14 2019-10-24 242 145 545 2.45960745960474 2019-10-04 "Mell Terry-Schowalter"
"278" "Perla Parisian" "Fianzas" 172 246 2019-10-05 2019-10-15 2019-10-25 580 92 376 304.814260499552 2019-10-05 "Luana Tillman"
"279" "Davina Cole" "Patrimoniales" 274 378 2019-10-06 2019-10-16 2019-10-26 198 20 14 528.417703974992 2019-10-06 "Luana Tillman"
"280" "Toshiko Kuphal" "Auto" 207 151 2019-10-07 2019-10-17 2019-10-27 413 125 82 429.392529744655 2019-10-07 "Lovie Kertzmann"
"281" "Ransom Ruecker" "Patrimoniales" 563 27 2019-10-08 2019-10-18 2019-10-28 272 246 374 316.264167800546 2019-10-08 "Lovie Kertzmann"
"282" "Lahoma Parisian-Labadie" "Fianzas" 191 223 2019-10-09 2019-10-19 2019-10-29 305 88 535 515.618943655863 2019-10-09 "Lovie Kertzmann"
"283" "Tanner Cassin" "Patrimoniales" 36 311 2019-10-10 2019-10-20 2019-10-30 495 64 536 134.897672804072 2019-10-10 "Mell Terry-Schowalter"
"284" "Thomas Rolfson" "Personas" 351 178 2019-10-11 2019-10-21 2019-10-31 549 156 277 395.806790376082 2019-10-11 "Luana Tillman"
"285" "Mrs. Christina Stroman MD" "Fianzas" 444 8 2019-10-12 2019-10-22 2019-11-01 284 586 256 44.4007835816592 2019-10-12 "Lovie Kertzmann"
"286" "Gertrude Heller" "Personas" 387 282 2019-10-13 2019-10-23 2019-11-02 408 567 252 56.5581300761551 2019-10-13 "Lovie Kertzmann"
"287" "Ms. Dorla Gorczany" "Fianzas" 123 544 2019-10-14 2019-10-24 2019-11-03 578 448 414 396.491849329323 2019-10-14 "Lovie Kertzmann"
"288" "Mrs. Bobbi Kihn" "Auto" 568 23 2019-10-15 2019-10-25 2019-11-04 436 130 297 369.008211186156 2019-10-15 "Miss Annis Ferry MD"
"289" "Mell Gottlieb MD" "Fianzas" 337 446 2019-10-16 2019-10-26 2019-11-05 244 250 163 192.381924251094 2019-10-16 "Aurore Shields"
"290" "Branch Fadel" "Fianzas" 272 448 2019-10-17 2019-10-27 2019-11-06 10 330 305 463.371875323355 2019-10-17 "Mr. Garth Raynor"
"291" "Akeem Howell" "Salud" 36 62 2019-10-18 2019-10-28 2019-11-07 531 433 397 540.13818721287 2019-10-18 "Lovie Kertzmann"
"292" "Albina Runte" "Auto" 421 168 2019-10-19 2019-10-29 2019-11-08 235 26 112 122.48474881053 2019-10-19 "Luana Tillman"
"293" "Arden Connelly-Cole" "Fianzas" 138 129 2019-10-20 2019-10-30 2019-11-09 259 228 273 356.171252578497 2019-10-20 "Luana Tillman"
"294" "Albina Parker" "Personas" 172 415 2019-10-21 2019-10-31 2019-11-10 390 139 55 299.133865535259 2019-10-21 "Aurore Shields"
"295" "Hideo Leannon" "Salud" 32 227 2019-10-22 2019-11-01 2019-11-11 110 582 445 192.384887114167 2019-10-22 "Mrs. Sheri Rippin PhD"
"296" "Mr. Gilford Torp Sr." "Personas" 258 516 2019-10-23 2019-11-02 2019-11-12 164 558 569 1.71894617378712 2019-10-23 "Helena Wiegand"
"297" "Jaylene Bauch" "Salud" 155 277 2019-10-24 2019-11-03 2019-11-13 410 1 448 404.922585608438 2019-10-24 "Mr. Garth Raynor"
"298" "Mr. Cristian Hessel DVM" "Salud" 187 188 2019-10-25 2019-11-04 2019-11-14 448 305 477 557.120099058375 2019-10-25 "Aurore Shields"
"299" "Dr. Regina Mohr MD" "Personas" 344 253 2019-10-26 2019-11-05 2019-11-15 74 483 152 462.325076479465 2019-10-26 "Mell Terry-Schowalter"
"300" "Orrin Mayert" "Salud" 94 595 2019-10-27 2019-11-06 2019-11-16 522 419 130 292.433247109875 2019-10-27 "Mr. Garth Raynor"
"301" "Dr. Kelsey Lakin Jr." "Salud" 271 49 2019-10-28 2019-11-07 2019-11-17 495 286 325 451.049600634724 2019-10-28 "Lovie Kertzmann"
"302" "Raoul O'Conner" "Auto" 322 573 2019-10-29 2019-11-08 2019-11-18 13 541 134 242.845544172451 2019-10-29 "Mrs. Domenica Kuphal"
"303" "Shaquan Olson" "Salud" 224 103 2019-10-30 2019-11-09 2019-11-19 563 191 360 396.872866619378 2019-10-30 "Luana Tillman"
"304" "Christin Turner-Bins" "Salud" 217 50 2019-10-31 2019-11-10 2019-11-20 435 493 514 97.6285003591329 2019-10-31 "Miss Annis Ferry MD"
"305" "Hanson Wilkinson MD" "Salud" 83 441 2019-11-01 2019-11-11 2019-11-21 547 310 588 184.442955767736 2019-11-01 "Luana Tillman"
"306" "Pranav Hilll" "Patrimoniales" 493 207 2019-11-02 2019-11-12 2019-11-22 327 71 399 536.259482055902 2019-11-02 "Helena Wiegand"
"307" "Kianna Will" "Personas" 501 378 2019-11-03 2019-11-13 2019-11-23 522 361 481 509.237850084901 2019-11-03 "Mrs. Domenica Kuphal"
"308" "Cris Lockman" "Personas" 60 225 2019-11-04 2019-11-14 2019-11-24 435 243 178 550.464036595076 2019-11-04 "Mr. Garth Raynor"
"309" "Urijah Reinger III" "Personas" 358 550 2019-11-05 2019-11-15 2019-11-25 512 564 523 96.0405696183443 2019-11-05 "Mr. Garth Raynor"
"310" "Vinie Wilkinson-Beatty" "Salud" 359 331 2019-11-06 2019-11-16 2019-11-26 439 58 212 190.024029510096 2019-11-06 "Lovie Kertzmann"
"311" "Miss Shelia Rohan" "Personas" 115 142 2019-11-07 2019-11-17 2019-11-27 50 186 146 508.466731477529 2019-11-07 "Mell Terry-Schowalter"
"312" "Anson Ritchie" "Salud" 397 494 2019-11-08 2019-11-18 2019-11-28 570 225 503 34.099887823686 2019-11-08 "Mrs. Sheri Rippin PhD"
"313" "Abel Feeney" "Personas" 408 280 2019-11-09 2019-11-19 2019-11-29 134 581 9 42.2160831280053 2019-11-09 "Mell Terry-Schowalter"
"314" "Miss Julia Toy" "Patrimoniales" 131 474 2019-11-10 2019-11-20 2019-11-30 166 216 322 91.8387591373175 2019-11-10 "Luana Tillman"
"315" "Dr. Warner Fay III" "Personas" 151 230 2019-11-11 2019-11-21 2019-12-01 139 146 217 86.2912422046065 2019-11-11 "Betsy Sporer PhD"
"316" "Wilburn Stroman-Crooks" "Personas" 254 99 2019-11-12 2019-11-22 2019-12-02 375 8 56 19.4915239233524 2019-11-12 "Helena Wiegand"
"317" "Pauletta Pollich-Kuvalis" "Auto" 7 264 2019-11-13 2019-11-23 2019-12-03 157 254 97 334.874643199146 2019-11-13 "Mrs. Sheri Rippin PhD"
"318" "Kaylynn Denesik" "Auto" 268 400 2019-11-14 2019-11-24 2019-12-04 397 119 474 403.36886770092 2019-11-14 "Miss Annis Ferry MD"
"319" "Irwin Orn" "Personas" 91 442 2019-11-15 2019-11-25 2019-12-05 383 402 219 267.050627432764 2019-11-15 "Aurore Shields"
"320" "Mrs. Maria Schamberger MD" "Salud" 222 271 2019-11-16 2019-11-26 2019-12-06 467 405 15 170.275108935311 2019-11-16 "Mrs. Sheri Rippin PhD"
"321" "Ferris Runte MD" "Personas" 75 47 2019-11-17 2019-11-27 2019-12-07 468 412 188 53.0855335760862 2019-11-17 "Mrs. Sheri Rippin PhD"
"322" "Ximena Wolf" "Fianzas" 4 407 2019-11-18 2019-11-28 2019-12-08 517 195 335 597.887725196779 2019-11-18 "Lovie Kertzmann"
"323" "Mr. Algernon Schamberger" "Salud" 370 209 2019-11-19 2019-11-29 2019-12-09 80 107 62 177.529792813584 2019-11-19 "Helena Wiegand"
"324" "Carroll Fay-DuBuque" "Personas" 548 23 2019-11-20 2019-11-30 2019-12-10 595 95 558 218.390264036134 2019-11-20 "Mell Terry-Schowalter"
"325" "Miss Kristan Lemke DVM" "Auto" 309 16 2019-11-21 2019-12-01 2019-12-11 370 23 140 316.686186846346 2019-11-21 "Mr. Garth Raynor"
"326" "Lakeisha Feest" "Personas" 381 221 2019-11-22 2019-12-02 2019-12-12 283 598 162 388.202058663592 2019-11-22 "Mrs. Sheri Rippin PhD"
"327" "Isidor Schneider" "Auto" 257 584 2019-11-23 2019-12-03 2019-12-13 174 497 18 368.375219078735 2019-11-23 "Mrs. Sheri Rippin PhD"
"328" "Brittny Graham" "Personas" 304 423 2019-11-24 2019-12-04 2019-12-14 329 498 12 547.498185234144 2019-11-24 "Luana Tillman"
"329" "Kelsey Hackett" "Salud" 436 538 2019-11-25 2019-12-05 2019-12-15 435 319 66 271.568933408707 2019-11-25 "Miss Annis Ferry MD"
"330" "Lary Homenick MD" "Personas" 322 193 2019-11-26 2019-12-06 2019-12-16 523 75 550 588.201374793425 2019-11-26 "Miss Annis Ferry MD"
"331" "Marc Nienow" "Personas" 211 353 2019-11-27 2019-12-07 2019-12-17 517 431 184 570.841399161145 2019-11-27 "Mr. Garth Raynor"
"332" "Mrs. Lessie Leannon" "Patrimoniales" 224 351 2019-11-28 2019-12-08 2019-12-18 361 554 469 407.889102073386 2019-11-28 "Betsy Sporer PhD"
"333" "Kylene Wilkinson" "Personas" 440 489 2019-11-29 2019-12-09 2019-12-19 422 429 198 322.350755659863 2019-11-29 "Mr. Garth Raynor"
"334" "Dr. Merlyn Kassulke I" "Fianzas" 365 288 2019-11-30 2019-12-10 2019-12-20 459 139 403 24.9350532889366 2019-11-30 "Betsy Sporer PhD"
"335" "Marius Olson-Rolfson" "Salud" 475 370 2019-12-01 2019-12-11 2019-12-21 304 424 540 98.232975974679 2019-12-01 "Miss Annis Ferry MD"
"336" "Herlinda Watsica" "Auto" 332 477 2019-12-02 2019-12-12 2019-12-22 27 154 239 321.933335764334 2019-12-02 "Mrs. Domenica Kuphal"
"337" "Frederic Herman" "Auto" 145 166 2019-12-03 2019-12-13 2019-12-23 3 30 306 309.336133534089 2019-12-03 "Betsy Sporer PhD"
"338" "Frankie Schmitt" "Auto" 214 521 2019-12-04 2019-12-14 2019-12-24 538 498 537 322.89103413932 2019-12-04 "Luana Tillman"
"339" "Mrs. Livia Nikolaus" "Auto" 112 315 2019-12-05 2019-12-15 2019-12-25 120 439 516 137.584956781939 2019-12-05 "Helena Wiegand"
"340" "Milly Maggio" "Auto" 85 12 2019-12-06 2019-12-16 2019-12-26 274 94 382 233.981732837856 2019-12-06 "Helena Wiegand"
