"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Comisión" "Fecha Inicio Vigencia" "Fecha Fin Vigencia" "Fecha" "productor" "cuentas_esp"
"169" "Centro 4" "Salud" "Salud" "Herman Connelly-Deckow" 295 118 353 595 2019-06-28 2019-07-08 2019-06-18 "Productor 2" "Cuenta 3"
"170" "Centro 5" "Fianzas" "Fianzas" "Morgan Corkery" 42 447 281 375 2019-06-29 2019-07-09 2019-06-19 "Productor 2" "Cuenta 1"
"171" "Centro 1" "Fianzas" "Fianzas" "Chace Bernhard" 544 402 252 207 2019-06-30 2019-07-10 2019-06-20 "Productor 2" "Cuenta 1"
"172" "Centro 3" "Personas" "Personas" "Dr. Jayce Krajcik" 262 367 16 175 2019-07-01 2019-07-11 2019-06-21 "Productor 5" "Cuenta 4"
"173" "Centro 1" "Personas" "Personas" "Floy Ankunding" 436 441 175 589 2019-07-02 2019-07-12 2019-06-22 "Productor 5" "Cuenta 3"
"174" "Centro 1" "Auto" "Auto" "Raven Mosciski" 77 11 236 286 2019-07-03 2019-07-13 2019-06-23 "Productor 5" "Cuenta 5"
"175" "Centro 2" "Auto" "Auto" "Arther Gusikowski DDS" 351 397 446 259 2019-07-04 2019-07-14 2019-06-24 "Productor 5" "Cuenta 2"
"176" "Centro 1" "Fianzas" "Fianzas" "Preston Ernser" 278 70 180 507 2019-07-05 2019-07-15 2019-06-25 "Productor 5" "Cuenta 3"
"177" "Centro 5" "Auto" "Auto" "Joseluis Greenfelder-Dicki" 384 238 457 57 2019-07-06 2019-07-16 2019-06-26 "Productor 5" "Cuenta 4"
"178" "Centro 5" "Fianzas" "Fianzas" "Seaborn Rath" 277 89 1 158 2019-07-07 2019-07-17 2019-06-27 "Productor 3" "Cuenta 2"
"179" "Centro 1" "Fianzas" "Fianzas" "Dr. Anne Wilderman" 585 340 311 456 2019-07-08 2019-07-18 2019-06-28 "Productor 3" "Cuenta 1"
"180" "Centro 4" "Auto" "Auto" "Daisye Kovacek" 575 541 29 347 2019-07-09 2019-07-19 2019-06-29 "Productor 3" "Cuenta 1"
"181" "Centro 1" "Salud" "Salud" "Mina Botsford" 552 168 256 42 2019-07-10 2019-07-20 2019-06-30 "Productor 1" "Cuenta 2"
"182" "Centro 4" "Fianzas" "Fianzas" "Leonia Treutel" 75 480 501 84 2019-07-11 2019-07-21 2019-07-01 "Productor 2" "Cuenta 4"
"183" "Centro 2" "Salud" "Salud" "Lucio Runte" 545 33 236 450 2019-07-12 2019-07-22 2019-07-02 "Productor 5" "Cuenta 1"
"184" "Centro 1" "Auto" "Auto" "Wells Reinger" 132 264 504 481 2019-07-13 2019-07-23 2019-07-03 "Productor 3" "Cuenta 5"
"185" "Centro 3" "Auto" "Auto" "Jocelyne Johns" 29 424 452 287 2019-07-14 2019-07-24 2019-07-04 "Productor 4" "Cuenta 2"
"186" "Centro 3" "Salud" "Salud" "Sinda Morissette-Wilderman" 294 246 17 274 2019-07-15 2019-07-25 2019-07-05 "Productor 2" "Cuenta 2"
"187" "Centro 2" "Personas" "Personas" "Virge Glover-Parisian" 403 588 362 196 2019-07-16 2019-07-26 2019-07-06 "Productor 4" "Cuenta 2"
"188" "Centro 5" "Auto" "Auto" "Bonnie Brown" 287 134 544 158 2019-07-17 2019-07-27 2019-07-07 "Productor 3" "Cuenta 3"
"189" "Centro 3" "Patrimoniales" "Patrimoniales" "Dr. Madison Kutch MD" 583 193 134 274 2019-07-18 2019-07-28 2019-07-08 "Productor 4" "Cuenta 4"
"190" "Centro 2" "Fianzas" "Fianzas" "Arlene Reilly" 145 453 97 31 2019-07-19 2019-07-29 2019-07-09 "Productor 1" "Cuenta 4"
"191" "Centro 2" "Fianzas" "Fianzas" "Hope Adams" 594 206 100 459 2019-07-20 2019-07-30 2019-07-10 "Productor 1" "Cuenta 5"
"192" "Centro 4" "Fianzas" "Fianzas" "Mrs. Karis Labadie" 598 13 429 271 2019-07-21 2019-07-31 2019-07-11 "Productor 4" "Cuenta 1"
"193" "Centro 5" "Fianzas" "Fianzas" "Sharde Lubowitz-Conroy" 5 101 190 152 2019-07-22 2019-08-01 2019-07-12 "Productor 2" "Cuenta 4"
"194" "Centro 4" "Fianzas" "Fianzas" "Lori Huels MD" 523 329 356 261 2019-07-23 2019-08-02 2019-07-13 "Productor 3" "Cuenta 1"
"195" "Centro 2" "Fianzas" "Fianzas" "Laurence Senger" 330 238 536 343 2019-07-24 2019-08-03 2019-07-14 "Productor 4" "Cuenta 2"
"196" "Centro 5" "Auto" "Auto" "Dr. Destiney Walker" 11 349 71 479 2019-07-25 2019-08-04 2019-07-15 "Productor 3" "Cuenta 3"
"197" "Centro 5" "Auto" "Auto" "Rex Wilderman" 296 302 5 579 2019-07-26 2019-08-05 2019-07-16 "Productor 2" "Cuenta 1"
"198" "Centro 2" "Salud" "Salud" "Kavon Walter" 433 35 488 439 2019-07-27 2019-08-06 2019-07-17 "Productor 4" "Cuenta 4"
"199" "Centro 4" "Patrimoniales" "Patrimoniales" "Egbert Douglas" 377 537 77 455 2019-07-28 2019-08-07 2019-07-18 "Productor 5" "Cuenta 3"
"200" "Centro 4" "Salud" "Salud" "Nelle O'Keefe-Homenick" 254 237 148 500 2019-07-29 2019-08-08 2019-07-19 "Productor 3" "Cuenta 1"
"201" "Centro 3" "Fianzas" "Fianzas" "Annabell Schaefer" 205 3 537 58 2019-07-30 2019-08-09 2019-07-20 "Productor 3" "Cuenta 3"
"202" "Centro 4" "Personas" "Personas" "Ms. Dorinda Pagac" 182 444 470 578 2019-07-31 2019-08-10 2019-07-21 "Productor 2" "Cuenta 1"
"203" "Centro 3" "Auto" "Auto" "Coby Aufderhar-O'Keefe" 1 48 369 178 2019-08-01 2019-08-11 2019-07-22 "Productor 4" "Cuenta 4"
"204" "Centro 2" "Personas" "Personas" "Glynda Morar MD" 388 62 294 194 2019-08-02 2019-08-12 2019-07-23 "Productor 1" "Cuenta 5"
"205" "Centro 5" "Patrimoniales" "Patrimoniales" "Emmer Kozey" 554 344 563 209 2019-08-03 2019-08-13 2019-07-24 "Productor 1" "Cuenta 1"
"206" "Centro 5" "Fianzas" "Fianzas" "Kimora Howell-Veum" 25 111 208 212 2019-08-04 2019-08-14 2019-07-25 "Productor 3" "Cuenta 3"
"207" "Centro 5" "Fianzas" "Fianzas" "Mervyn Eichmann Jr." 389 262 504 420 2019-08-05 2019-08-15 2019-07-26 "Productor 3" "Cuenta 2"
"208" "Centro 2" "Patrimoniales" "Patrimoniales" "Kadeem Herzog" 585 590 154 447 2019-08-06 2019-08-16 2019-07-27 "Productor 5" "Cuenta 4"
"209" "Centro 1" "Patrimoniales" "Patrimoniales" "Samie Walsh-Kiehn" 462 504 446 454 2019-08-07 2019-08-17 2019-07-28 "Productor 2" "Cuenta 1"
"210" "Centro 4" "Patrimoniales" "Patrimoniales" "Guido Beahan" 56 388 355 45 2019-08-08 2019-08-18 2019-07-29 "Productor 2" "Cuenta 1"
"211" "Centro 3" "Salud" "Salud" "Arielle Effertz" 213 394 354 284 2019-08-09 2019-08-19 2019-07-30 "Productor 5" "Cuenta 3"
"212" "Centro 5" "Patrimoniales" "Patrimoniales" "Kaylee Schiller-Ondricka" 162 114 367 453 2019-08-10 2019-08-20 2019-07-31 "Productor 1" "Cuenta 1"
"213" "Centro 5" "Patrimoniales" "Patrimoniales" "Mr. Darrell Armstrong" 233 272 269 187 2019-08-11 2019-08-21 2019-08-01 "Productor 1" "Cuenta 2"
"214" "Centro 1" "Fianzas" "Fianzas" "Marcos Schaden" 461 98 512 243 2019-08-12 2019-08-22 2019-08-02 "Productor 2" "Cuenta 1"
"215" "Centro 2" "Patrimoniales" "Patrimoniales" "Gustav Fay" 523 355 414 472 2019-08-13 2019-08-23 2019-08-03 "Productor 2" "Cuenta 2"
"216" "Centro 2" "Auto" "Auto" "Ms. Belva Bradtke" 191 265 69 370 2019-08-14 2019-08-24 2019-08-04 "Productor 3" "Cuenta 4"
"217" "Centro 1" "Patrimoniales" "Patrimoniales" "Holden Kuvalis" 174 110 278 322 2019-08-15 2019-08-25 2019-08-05 "Productor 2" "Cuenta 5"
"218" "Centro 1" "Fianzas" "Fianzas" "Shep Lebsack-Reinger" 85 343 250 302 2019-08-16 2019-08-26 2019-08-06 "Productor 3" "Cuenta 3"
"219" "Centro 1" "Auto" "Auto" "Rosina Heller" 451 380 178 280 2019-08-17 2019-08-27 2019-08-07 "Productor 3" "Cuenta 4"
"220" "Centro 5" "Patrimoniales" "Patrimoniales" "Verner Harber" 273 587 82 422 2019-08-18 2019-08-28 2019-08-08 "Productor 1" "Cuenta 2"
"221" "Centro 3" "Salud" "Salud" "Jobe Kirlin" 274 409 488 520 2019-08-19 2019-08-29 2019-08-09 "Productor 2" "Cuenta 5"
"222" "Centro 1" "Fianzas" "Fianzas" "Vallie Orn-Carter" 359 410 13 251 2019-08-20 2019-08-30 2019-08-10 "Productor 5" "Cuenta 2"
"223" "Centro 3" "Patrimoniales" "Patrimoniales" "Zoey Ferry-Jacobi" 47 540 552 163 2019-08-21 2019-08-31 2019-08-11 "Productor 1" "Cuenta 3"
"224" "Centro 5" "Patrimoniales" "Patrimoniales" "Mr. Melvin Waters" 425 49 240 559 2019-08-22 2019-09-01 2019-08-12 "Productor 2" "Cuenta 3"
"225" "Centro 5" "Salud" "Salud" "Dr. Kelby Carter" 53 474 517 105 2019-08-23 2019-09-02 2019-08-13 "Productor 1" "Cuenta 5"
"226" "Centro 2" "Auto" "Auto" "Jude Smith" 519 418 216 434 2019-08-24 2019-09-03 2019-08-14 "Productor 3" "Cuenta 3"
"227" "Centro 4" "Salud" "Salud" "Miss Mai Cremin" 583 310 471 326 2019-08-25 2019-09-04 2019-08-15 "Productor 1" "Cuenta 5"
"228" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Claud Beahan" 528 353 481 54 2019-08-26 2019-09-05 2019-08-16 "Productor 1" "Cuenta 1"
"229" "Centro 5" "Patrimoniales" "Patrimoniales" "Ms. Cheryll Bahringer DVM" 79 331 404 568 2019-08-27 2019-09-06 2019-08-17 "Productor 3" "Cuenta 3"
"230" "Centro 4" "Fianzas" "Fianzas" "Salvador Feil" 527 564 72 365 2019-08-28 2019-09-07 2019-08-18 "Productor 1" "Cuenta 5"
"231" "Centro 3" "Personas" "Personas" "Ms. Mara Langworth" 233 568 106 183 2019-08-29 2019-09-08 2019-08-19 "Productor 4" "Cuenta 1"
"232" "Centro 4" "Personas" "Personas" "Kyan Crona" 455 395 159 435 2019-08-30 2019-09-09 2019-08-20 "Productor 4" "Cuenta 3"
"233" "Centro 5" "Patrimoniales" "Patrimoniales" "Yamilex Bayer" 78 431 577 351 2019-08-31 2019-09-10 2019-08-21 "Productor 5" "Cuenta 5"
"234" "Centro 5" "Fianzas" "Fianzas" "Maralyn Emard-Bechtelar" 84 328 178 78 2019-09-01 2019-09-11 2019-08-22 "Productor 1" "Cuenta 3"
"235" "Centro 1" "Fianzas" "Fianzas" "Darvin Dietrich DVM" 136 529 444 310 2019-09-02 2019-09-12 2019-08-23 "Productor 2" "Cuenta 5"
"236" "Centro 1" "Personas" "Personas" "Lenna Denesik" 541 219 591 181 2019-09-03 2019-09-13 2019-08-24 "Productor 1" "Cuenta 1"
"237" "Centro 2" "Fianzas" "Fianzas" "Mr. Daron McGlynn V" 151 234 328 559 2019-09-04 2019-09-14 2019-08-25 "Productor 5" "Cuenta 3"
"238" "Centro 2" "Salud" "Salud" "Mr. Cicero O'Keefe" 96 307 98 6 2019-09-05 2019-09-15 2019-08-26 "Productor 5" "Cuenta 4"
"239" "Centro 1" "Personas" "Personas" "Shalonda Kilback" 526 202 127 458 2019-09-06 2019-09-16 2019-08-27 "Productor 5" "Cuenta 2"
"240" "Centro 3" "Auto" "Auto" "Whitney Bergstrom" 108 203 576 114 2019-09-07 2019-09-17 2019-08-28 "Productor 3" "Cuenta 4"
"241" "Centro 1" "Salud" "Salud" "Halie Schulist DVM" 551 202 102 316 2019-09-08 2019-09-18 2019-08-29 "Productor 4" "Cuenta 3"
"242" "Centro 3" "Auto" "Auto" "Delmar Grimes" 323 530 429 224 2019-09-09 2019-09-19 2019-08-30 "Productor 4" "Cuenta 4"
"243" "Centro 4" "Patrimoniales" "Patrimoniales" "Neha Lebsack-Reynolds" 498 58 565 388 2019-09-10 2019-09-20 2019-08-31 "Productor 3" "Cuenta 1"
"244" "Centro 3" "Auto" "Auto" "Leroy Pfeffer" 218 360 452 147 2019-09-11 2019-09-21 2019-09-01 "Productor 4" "Cuenta 2"
"245" "Centro 1" "Auto" "Auto" "Dr. Rodolfo Ward II" 165 29 351 594 2019-09-12 2019-09-22 2019-09-02 "Productor 4" "Cuenta 3"
"246" "Centro 1" "Auto" "Auto" "Mr. Jabbar Emmerich" 321 113 355 175 2019-09-13 2019-09-23 2019-09-03 "Productor 3" "Cuenta 1"
"247" "Centro 1" "Personas" "Personas" "Ramona Brakus" 25 348 257 378 2019-09-14 2019-09-24 2019-09-04 "Productor 3" "Cuenta 4"
"248" "Centro 2" "Salud" "Salud" "Dilan Gislason-Hills" 496 129 328 523 2019-09-15 2019-09-25 2019-09-05 "Productor 5" "Cuenta 1"
"249" "Centro 2" "Salud" "Salud" "Noemie White DDS" 115 286 168 227 2019-09-16 2019-09-26 2019-09-06 "Productor 3" "Cuenta 5"
"250" "Centro 2" "Fianzas" "Fianzas" "Andria Swift" 521 254 348 237 2019-09-17 2019-09-27 2019-09-07 "Productor 3" "Cuenta 1"
"251" "Centro 1" "Salud" "Salud" "Lillian Keebler" 563 518 579 178 2019-09-18 2019-09-28 2019-09-08 "Productor 2" "Cuenta 1"
"252" "Centro 5" "Fianzas" "Fianzas" "Zed Bashirian II" 547 587 562 498 2019-09-19 2019-09-29 2019-09-09 "Productor 4" "Cuenta 1"
"253" "Centro 5" "Fianzas" "Fianzas" "Krish Dicki" 199 59 249 317 2019-09-20 2019-09-30 2019-09-10 "Productor 5" "Cuenta 5"
"254" "Centro 4" "Salud" "Salud" "Jaime Purdy" 592 72 428 225 2019-09-21 2019-10-01 2019-09-11 "Productor 3" "Cuenta 1"
"255" "Centro 1" "Fianzas" "Fianzas" "Ava Kulas-Koelpin" 156 467 337 296 2019-09-22 2019-10-02 2019-09-12 "Productor 5" "Cuenta 2"
"256" "Centro 1" "Auto" "Auto" "Dr. Elberta Cummerata" 372 573 354 60 2019-09-23 2019-10-03 2019-09-13 "Productor 5" "Cuenta 2"
"257" "Centro 3" "Fianzas" "Fianzas" "Rhiannon Simonis-Yundt" 194 22 42 456 2019-09-24 2019-10-04 2019-09-14 "Productor 3" "Cuenta 5"
"258" "Centro 4" "Personas" "Personas" "Darcie Rogahn-Moore" 136 564 84 535 2019-09-25 2019-10-05 2019-09-15 "Productor 1" "Cuenta 1"
"259" "Centro 1" "Auto" "Auto" "Erline Luettgen-Kutch" 177 131 224 495 2019-09-26 2019-10-06 2019-09-16 "Productor 2" "Cuenta 1"
"260" "Centro 3" "Fianzas" "Fianzas" "Harley Jenkins" 488 335 53 106 2019-09-27 2019-10-07 2019-09-17 "Productor 1" "Cuenta 2"
"261" "Centro 5" "Personas" "Personas" "Mrs. Ceil Kilback" 282 268 347 519 2019-09-28 2019-10-08 2019-09-18 "Productor 3" "Cuenta 3"
"262" "Centro 4" "Auto" "Auto" "Ms. Letitia Krajcik" 116 310 370 170 2019-09-29 2019-10-09 2019-09-19 "Productor 3" "Cuenta 2"
"263" "Centro 2" "Personas" "Personas" "Jazmyn Franecki" 399 519 262 309 2019-09-30 2019-10-10 2019-09-20 "Productor 3" "Cuenta 2"
"264" "Centro 1" "Personas" "Personas" "Cindy DuBuque" 190 277 186 57 2019-10-01 2019-10-11 2019-09-21 "Productor 1" "Cuenta 1"
"265" "Centro 1" "Fianzas" "Fianzas" "Andreas Stiedemann" 102 287 481 416 2019-10-02 2019-10-12 2019-09-22 "Productor 4" "Cuenta 4"
"266" "Centro 4" "Salud" "Salud" "Somer Oberbrunner" 488 441 339 223 2019-10-03 2019-10-13 2019-09-23 "Productor 5" "Cuenta 4"
"267" "Centro 4" "Fianzas" "Fianzas" "Andreas Crooks" 588 311 442 191 2019-10-04 2019-10-14 2019-09-24 "Productor 2" "Cuenta 4"
"268" "Centro 3" "Salud" "Salud" "Olevia Roberts-Weimann" 512 63 503 167 2019-10-05 2019-10-15 2019-09-25 "Productor 3" "Cuenta 2"
"269" "Centro 5" "Fianzas" "Fianzas" "Miss Jaylin Doyle PhD" 556 600 508 585 2019-10-06 2019-10-16 2019-09-26 "Productor 5" "Cuenta 3"
"270" "Centro 4" "Fianzas" "Fianzas" "Heidy Pollich" 189 576 379 337 2019-10-07 2019-10-17 2019-09-27 "Productor 2" "Cuenta 1"
"271" "Centro 3" "Salud" "Salud" "Rock Franecki" 533 594 583 308 2019-10-08 2019-10-18 2019-09-28 "Productor 4" "Cuenta 5"
"272" "Centro 5" "Patrimoniales" "Patrimoniales" "Marietta Armstrong" 353 242 54 116 2019-10-09 2019-10-19 2019-09-29 "Productor 1" "Cuenta 1"
"273" "Centro 4" "Fianzas" "Fianzas" "Florine Bednar-Schumm" 310 344 531 364 2019-10-10 2019-10-20 2019-09-30 "Productor 2" "Cuenta 1"
"274" "Centro 1" "Personas" "Personas" "Marlon Langworth" 278 18 148 455 2019-10-11 2019-10-21 2019-10-01 "Productor 5" "Cuenta 2"
"275" "Centro 1" "Fianzas" "Fianzas" "Obe Gorczany II" 269 588 221 274 2019-10-12 2019-10-22 2019-10-02 "Productor 1" "Cuenta 1"
"276" "Centro 3" "Fianzas" "Fianzas" "Evander Weimann II" 580 204 164 94 2019-10-13 2019-10-23 2019-10-03 "Productor 4" "Cuenta 1"
"277" "Centro 2" "Patrimoniales" "Patrimoniales" "Jeanie Koelpin MD" 473 476 263 364 2019-10-14 2019-10-24 2019-10-04 "Productor 2" "Cuenta 3"
"278" "Centro 3" "Fianzas" "Fianzas" "Contina Schimmel" 273 588 427 497 2019-10-15 2019-10-25 2019-10-05 "Productor 4" "Cuenta 2"
"279" "Centro 2" "Salud" "Salud" "Daisy Koch" 324 102 594 401 2019-10-16 2019-10-26 2019-10-06 "Productor 3" "Cuenta 5"
"280" "Centro 1" "Fianzas" "Fianzas" "Edwin D'Amore" 388 559 520 499 2019-10-17 2019-10-27 2019-10-07 "Productor 2" "Cuenta 2"
"281" "Centro 3" "Fianzas" "Fianzas" "Koda Weber" 221 557 493 74 2019-10-18 2019-10-28 2019-10-08 "Productor 1" "Cuenta 2"
"282" "Centro 3" "Patrimoniales" "Patrimoniales" "Brandin Frami" 161 335 272 392 2019-10-19 2019-10-29 2019-10-09 "Productor 3" "Cuenta 5"
"283" "Centro 4" "Fianzas" "Fianzas" "Arietta Cartwright" 554 386 264 80 2019-10-20 2019-10-30 2019-10-10 "Productor 2" "Cuenta 5"
"284" "Centro 3" "Patrimoniales" "Patrimoniales" "Ally Batz PhD" 19 310 581 508 2019-10-21 2019-10-31 2019-10-11 "Productor 1" "Cuenta 5"
"285" "Centro 2" "Patrimoniales" "Patrimoniales" "Miss Jamila Yundt" 29 181 517 333 2019-10-22 2019-11-01 2019-10-12 "Productor 2" "Cuenta 2"
"286" "Centro 4" "Fianzas" "Fianzas" "Ron Rosenbaum" 95 316 240 186 2019-10-23 2019-11-02 2019-10-13 "Productor 4" "Cuenta 2"
"287" "Centro 5" "Auto" "Auto" "Oran Homenick" 355 587 575 73 2019-10-24 2019-11-03 2019-10-14 "Productor 2" "Cuenta 1"
"288" "Centro 3" "Salud" "Salud" "Lilia Lesch-Dickinson" 19 138 125 131 2019-10-25 2019-11-04 2019-10-15 "Productor 2" "Cuenta 1"
"289" "Centro 2" "Patrimoniales" "Patrimoniales" "Ethen Brown Jr." 197 357 30 131 2019-10-26 2019-11-05 2019-10-16 "Productor 5" "Cuenta 5"
"290" "Centro 2" "Fianzas" "Fianzas" "Dr. Giovani Kassulke" 335 552 204 113 2019-10-27 2019-11-06 2019-10-17 "Productor 4" "Cuenta 1"
"291" "Centro 4" "Salud" "Salud" "Gwenda Terry" 137 39 591 400 2019-10-28 2019-11-07 2019-10-18 "Productor 2" "Cuenta 4"
"292" "Centro 2" "Fianzas" "Fianzas" "Howard Cremin" 361 52 380 157 2019-10-29 2019-11-08 2019-10-19 "Productor 5" "Cuenta 3"
"293" "Centro 2" "Patrimoniales" "Patrimoniales" "Ms. Cynthia Luettgen DVM" 534 92 37 28 2019-10-30 2019-11-09 2019-10-20 "Productor 2" "Cuenta 3"
"294" "Centro 4" "Fianzas" "Fianzas" "Carolee Ward" 255 227 237 90 2019-10-31 2019-11-10 2019-10-21 "Productor 5" "Cuenta 1"
"295" "Centro 4" "Auto" "Auto" "Beth Hamill-White" 92 332 283 469 2019-11-01 2019-11-11 2019-10-22 "Productor 5" "Cuenta 5"
"296" "Centro 2" "Personas" "Personas" "Clem Blanda" 186 292 594 296 2019-11-02 2019-11-12 2019-10-23 "Productor 4" "Cuenta 1"
"297" "Centro 2" "Salud" "Salud" "Erby Yundt" 41 363 435 330 2019-11-03 2019-11-13 2019-10-24 "Productor 3" "Cuenta 1"
"298" "Centro 1" "Personas" "Personas" "Garnet Kirlin" 124 584 50 145 2019-11-04 2019-11-14 2019-10-25 "Productor 5" "Cuenta 3"
"299" "Centro 2" "Salud" "Salud" "Christy Moore" 522 582 9 154 2019-11-05 2019-11-15 2019-10-26 "Productor 4" "Cuenta 2"
"300" "Centro 3" "Personas" "Personas" "Cheyenne Ruecker" 548 341 467 376 2019-11-06 2019-11-16 2019-10-27 "Productor 2" "Cuenta 3"
"301" "Centro 3" "Auto" "Auto" "Arvil Muller" 42 336 114 93 2019-11-07 2019-11-17 2019-10-28 "Productor 2" "Cuenta 1"
"302" "Centro 3" "Auto" "Auto" "Cara Miller" 371 540 202 76 2019-11-08 2019-11-18 2019-10-29 "Productor 2" "Cuenta 2"
"303" "Centro 5" "Patrimoniales" "Patrimoniales" "Phillis Lubowitz" 328 216 365 221 2019-11-09 2019-11-19 2019-10-30 "Productor 2" "Cuenta 4"
"304" "Centro 4" "Patrimoniales" "Patrimoniales" "Elige Waelchi" 419 486 218 242 2019-11-10 2019-11-20 2019-10-31 "Productor 1" "Cuenta 3"
"305" "Centro 1" "Auto" "Auto" "Noe Mohr" 522 197 398 289 2019-11-11 2019-11-21 2019-11-01 "Productor 3" "Cuenta 1"
"306" "Centro 4" "Personas" "Personas" "Montana Mante I" 44 464 59 159 2019-11-12 2019-11-22 2019-11-02 "Productor 4" "Cuenta 3"
"307" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Keaton Schulist DVM" 426 244 183 228 2019-11-13 2019-11-23 2019-11-03 "Productor 5" "Cuenta 4"
"308" "Centro 2" "Fianzas" "Fianzas" "Ms. Sophie Osinski DDS" 299 478 533 412 2019-11-14 2019-11-24 2019-11-04 "Productor 1" "Cuenta 3"
"309" "Centro 1" "Fianzas" "Fianzas" "Ulises Strosin-Nader" 581 72 328 200 2019-11-15 2019-11-25 2019-11-05 "Productor 2" "Cuenta 1"
"310" "Centro 1" "Fianzas" "Fianzas" "Chloie Wilkinson" 254 333 153 155 2019-11-16 2019-11-26 2019-11-06 "Productor 4" "Cuenta 3"
"311" "Centro 2" "Personas" "Personas" "Marley Keeling" 46 459 18 17 2019-11-17 2019-11-27 2019-11-07 "Productor 1" "Cuenta 1"
"312" "Centro 3" "Personas" "Personas" "Teagan Wilderman" 161 353 28 382 2019-11-18 2019-11-28 2019-11-08 "Productor 1" "Cuenta 4"
"313" "Centro 5" "Personas" "Personas" "Geneva Wunsch" 13 103 526 530 2019-11-19 2019-11-29 2019-11-09 "Productor 3" "Cuenta 5"
"314" "Centro 4" "Fianzas" "Fianzas" "Hal Rosenbaum Jr." 487 196 469 182 2019-11-20 2019-11-30 2019-11-10 "Productor 1" "Cuenta 2"
"315" "Centro 4" "Auto" "Auto" "Lani Wunsch" 255 513 550 0 2019-11-21 2019-12-01 2019-11-11 "Productor 4" "Cuenta 3"
"316" "Centro 2" "Fianzas" "Fianzas" "Pascal Huels-Feest" 273 334 436 281 2019-11-22 2019-12-02 2019-11-12 "Productor 3" "Cuenta 1"
"317" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Carrie Beatty" 464 328 336 20 2019-11-23 2019-12-03 2019-11-13 "Productor 3" "Cuenta 2"
"318" "Centro 2" "Salud" "Salud" "Ms. Arely Hane" 169 331 168 225 2019-11-24 2019-12-04 2019-11-14 "Productor 5" "Cuenta 3"
"319" "Centro 2" "Personas" "Personas" "Kyree Hermiston" 221 575 256 42 2019-11-25 2019-12-05 2019-11-15 "Productor 5" "Cuenta 1"
"320" "Centro 2" "Patrimoniales" "Patrimoniales" "Nelle Davis" 29 2 110 411 2019-11-26 2019-12-06 2019-11-16 "Productor 4" "Cuenta 3"
"321" "Centro 3" "Personas" "Personas" "Kassidy Wiegand" 85 65 246 407 2019-11-27 2019-12-07 2019-11-17 "Productor 2" "Cuenta 5"
"322" "Centro 4" "Fianzas" "Fianzas" "Merle Gottlieb" 252 374 255 286 2019-11-28 2019-12-08 2019-11-18 "Productor 2" "Cuenta 1"
"323" "Centro 2" "Salud" "Salud" "Mrs. Almedia Bernier" 35 208 28 12 2019-11-29 2019-12-09 2019-11-19 "Productor 4" "Cuenta 2"
"324" "Centro 4" "Personas" "Personas" "Valentin Kassulke MD" 144 435 88 576 2019-11-30 2019-12-10 2019-11-20 "Productor 5" "Cuenta 4"
"325" "Centro 4" "Personas" "Personas" "Elizbeth Kessler DVM" 260 496 565 100 2019-12-01 2019-12-11 2019-11-21 "Productor 5" "Cuenta 5"
"326" "Centro 3" "Patrimoniales" "Patrimoniales" "Lizeth Welch" 120 294 419 74 2019-12-02 2019-12-12 2019-11-22 "Productor 1" "Cuenta 4"
"327" "Centro 5" "Auto" "Auto" "Algie McClure" 87 359 372 412 2019-12-03 2019-12-13 2019-11-23 "Productor 5" "Cuenta 5"
"328" "Centro 3" "Auto" "Auto" "Nels Stark" 67 92 127 350 2019-12-04 2019-12-14 2019-11-24 "Productor 2" "Cuenta 1"
"329" "Centro 3" "Salud" "Salud" "Leeroy Feeney" 312 361 455 56 2019-12-05 2019-12-15 2019-11-25 "Productor 4" "Cuenta 2"
"330" "Centro 3" "Fianzas" "Fianzas" "Dr. Luciana Renner" 85 312 357 344 2019-12-06 2019-12-16 2019-11-26 "Productor 2" "Cuenta 2"
"331" "Centro 1" "Salud" "Salud" "Mr. Colonel Treutel" 486 505 4 326 2019-12-07 2019-12-17 2019-11-27 "Productor 5" "Cuenta 2"
"332" "Centro 1" "Patrimoniales" "Patrimoniales" "Carl Corkery" 253 12 107 221 2019-12-08 2019-12-18 2019-11-28 "Productor 3" "Cuenta 2"
"333" "Centro 5" "Auto" "Auto" "Emma Bartoletti PhD" 316 594 509 337 2019-12-09 2019-12-19 2019-11-29 "Productor 1" "Cuenta 2"
"334" "Centro 4" "Fianzas" "Fianzas" "Kinte Prohaska" 409 193 480 151 2019-12-10 2019-12-20 2019-11-30 "Productor 4" "Cuenta 4"
"335" "Centro 5" "Personas" "Personas" "Mariana Schultz" 421 588 332 376 2019-12-11 2019-12-21 2019-12-01 "Productor 1" "Cuenta 1"
"336" "Centro 4" "Auto" "Auto" "Isadora Ondricka" 347 600 243 247 2019-12-12 2019-12-22 2019-12-02 "Productor 3" "Cuenta 5"
"337" "Centro 1" "Patrimoniales" "Patrimoniales" "Mason Conn" 388 227 256 68 2019-12-13 2019-12-23 2019-12-03 "Productor 1" "Cuenta 4"
"338" "Centro 2" "Auto" "Auto" "Corrina Wilkinson-Weber" 588 456 333 452 2019-12-14 2019-12-24 2019-12-04 "Productor 3" "Cuenta 4"
