"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Centro de Atención Receptor" "Número Póliza" "Número Siniestro" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Fecha" "productor" "cuentas_esp"
"181" "Centro 2" "Auto" "Auto" "Elvia Mitchell" "Centro 2" 547 4 583 62 434 2019-06-30 "Productor 5" "Cuenta 3"
"182" "Centro 5" "Personas" "Personas" "Kayleigh Mosciski" "Centro 5" 302 429 153 512 147 2019-07-01 "Productor 2" "Cuenta 1"
"183" "Centro 1" "Fianzas" "Fianzas" "Raelynn Oberbrunner" "Centro 1" 175 205 456 121 64 2019-07-02 "Productor 1" "Cuenta 1"
"184" "Centro 4" "Auto" "Auto" "Mrs. Kelis Stark" "Centro 4" 246 586 372 561 500 2019-07-03 "Productor 2" "Cuenta 3"
"185" "Centro 4" "Salud" "Salud" "Miss Tilda Lang" "Centro 4" 434 368 445 541 309 2019-07-04 "Productor 2" "Cuenta 3"
"186" "Centro 4" "Auto" "Auto" "Desmond Considine" "Centro 4" 49 594 49 215 209 2019-07-05 "Productor 4" "Cuenta 3"
"187" "Centro 4" "Salud" "Salud" "Leesa Schuppe" "Centro 4" 101 36 94 344 493 2019-07-06 "Productor 2" "Cuenta 2"
"188" "Centro 2" "Personas" "Personas" "Jeane Parisian" "Centro 2" 97 304 339 109 78 2019-07-07 "Productor 3" "Cuenta 1"
"189" "Centro 3" "Salud" "Salud" "Mckinley Kovacek PhD" "Centro 3" 382 24 531 284 466 2019-07-08 "Productor 5" "Cuenta 2"
"190" "Centro 1" "Auto" "Auto" "Elnora Gutkowski" "Centro 1" 171 406 244 329 395 2019-07-09 "Productor 4" "Cuenta 4"
"191" "Centro 5" "Patrimoniales" "Patrimoniales" "Carlotta Turcotte" "Centro 5" 155 205 417 89 261 2019-07-10 "Productor 5" "Cuenta 5"
"192" "Centro 3" "Salud" "Salud" "Elihu Oberbrunner" "Centro 3" 103 417 356 110 466 2019-07-11 "Productor 5" "Cuenta 2"
"193" "Centro 5" "Patrimoniales" "Patrimoniales" "Mitchell Morar" "Centro 5" 143 489 292 423 258 2019-07-12 "Productor 3" "Cuenta 3"
"194" "Centro 2" "Fianzas" "Fianzas" "Miss Filomena Hessel DVM" "Centro 2" 173 379 259 366 312 2019-07-13 "Productor 2" "Cuenta 5"
"195" "Centro 5" "Auto" "Auto" "Hildred Shields" "Centro 5" 156 383 178 589 206 2019-07-14 "Productor 5" "Cuenta 2"
"196" "Centro 4" "Salud" "Salud" "Graham Kling" "Centro 4" 155 433 436 528 435 2019-07-15 "Productor 4" "Cuenta 3"
"197" "Centro 5" "Patrimoniales" "Patrimoniales" "Glennie Mertz DDS" "Centro 5" 333 355 180 115 12 2019-07-16 "Productor 2" "Cuenta 4"
"198" "Centro 1" "Salud" "Salud" "Elwanda Herman" "Centro 1" 575 369 61 240 34 2019-07-17 "Productor 5" "Cuenta 4"
"199" "Centro 3" "Personas" "Personas" "Leonidas Hane" "Centro 3" 393 245 210 447 89 2019-07-18 "Productor 5" "Cuenta 2"
"200" "Centro 5" "Fianzas" "Fianzas" "Milo Johnston Jr." "Centro 5" 362 419 97 186 129 2019-07-19 "Productor 3" "Cuenta 1"
"201" "Centro 1" "Auto" "Auto" "Dr. Griffith Oberbrunner Sr." "Centro 1" 442 243 171 572 41 2019-07-20 "Productor 3" "Cuenta 2"
"202" "Centro 5" "Salud" "Salud" "Murry Morar" "Centro 5" 407 411 435 228 82 2019-07-21 "Productor 1" "Cuenta 4"
"203" "Centro 5" "Personas" "Personas" "Dr. Cass Conn" "Centro 5" 533 94 393 198 422 2019-07-22 "Productor 1" "Cuenta 1"
"204" "Centro 2" "Salud" "Salud" "Dr. Sydnee Waters DVM" "Centro 2" 576 47 463 85 300 2019-07-23 "Productor 5" "Cuenta 3"
"205" "Centro 3" "Salud" "Salud" "Flor Hermiston" "Centro 3" 409 22 55 310 53 2019-07-24 "Productor 4" "Cuenta 5"
"206" "Centro 2" "Personas" "Personas" "Dr. Danyell Leuschke" "Centro 2" 572 328 251 258 96 2019-07-25 "Productor 4" "Cuenta 3"
"207" "Centro 1" "Personas" "Personas" "Loretto Effertz" "Centro 1" 351 84 490 325 245 2019-07-26 "Productor 5" "Cuenta 4"
"208" "Centro 4" "Fianzas" "Fianzas" "Blas Schmidt DDS" "Centro 4" 3 517 433 121 530 2019-07-27 "Productor 5" "Cuenta 3"
"209" "Centro 2" "Fianzas" "Fianzas" "Linnie Botsford-Denesik" "Centro 2" 184 366 274 182 357 2019-07-28 "Productor 1" "Cuenta 4"
"210" "Centro 2" "Salud" "Salud" "Mr. Isai Nienow" "Centro 2" 38 423 350 19 170 2019-07-29 "Productor 2" "Cuenta 2"
"211" "Centro 1" "Patrimoniales" "Patrimoniales" "Dr. Osborne Effertz" "Centro 1" 414 111 237 196 506 2019-07-30 "Productor 2" "Cuenta 1"
"212" "Centro 4" "Salud" "Salud" "Chance Lesch" "Centro 4" 445 82 546 534 361 2019-07-31 "Productor 3" "Cuenta 2"
"213" "Centro 4" "Personas" "Personas" "Cassandra Pfeffer" "Centro 4" 275 10 184 335 407 2019-08-01 "Productor 5" "Cuenta 3"
"214" "Centro 2" "Auto" "Auto" "Ricki Fisher-Legros" "Centro 2" 381 25 240 383 479 2019-08-02 "Productor 5" "Cuenta 2"
"215" "Centro 1" "Patrimoniales" "Patrimoniales" "Darby Stehr DVM" "Centro 1" 335 253 175 445 98 2019-08-03 "Productor 1" "Cuenta 4"
"216" "Centro 3" "Patrimoniales" "Patrimoniales" "Mrs. Cora Quitzon MD" "Centro 3" 6 542 104 259 153 2019-08-04 "Productor 4" "Cuenta 1"
"217" "Centro 1" "Personas" "Personas" "Tricia Senger" "Centro 1" 87 439 86 155 564 2019-08-05 "Productor 4" "Cuenta 2"
"218" "Centro 4" "Personas" "Personas" "Guilford Gleichner" "Centro 4" 287 175 344 528 361 2019-08-06 "Productor 3" "Cuenta 2"
"219" "Centro 3" "Patrimoniales" "Patrimoniales" "Sade Bergstrom" "Centro 3" 203 225 532 310 148 2019-08-07 "Productor 1" "Cuenta 1"
"220" "Centro 2" "Auto" "Auto" "Mr. Jarret Cole Jr." "Centro 2" 204 343 325 548 238 2019-08-08 "Productor 3" "Cuenta 5"
"221" "Centro 3" "Auto" "Auto" "Loma Raynor" "Centro 3" 404 217 269 156 468 2019-08-09 "Productor 3" "Cuenta 1"
"222" "Centro 4" "Salud" "Salud" "Collette Conn" "Centro 4" 522 536 517 202 394 2019-08-10 "Productor 1" "Cuenta 3"
"223" "Centro 2" "Fianzas" "Fianzas" "Royal Greenholt II" "Centro 2" 143 129 381 23 342 2019-08-11 "Productor 1" "Cuenta 5"
"224" "Centro 1" "Salud" "Salud" "Jasmin Sawayn" "Centro 1" 408 330 436 397 309 2019-08-12 "Productor 4" "Cuenta 4"
"225" "Centro 5" "Salud" "Salud" "Deron Kulas" "Centro 5" 519 225 556 393 57 2019-08-13 "Productor 3" "Cuenta 1"
"226" "Centro 3" "Fianzas" "Fianzas" "Warren Ferry-Trantow" "Centro 3" 341 231 508 412 539 2019-08-14 "Productor 5" "Cuenta 5"
"227" "Centro 4" "Auto" "Auto" "Dr. Louis Gerlach" "Centro 4" 204 211 565 441 364 2019-08-15 "Productor 5" "Cuenta 2"
"228" "Centro 4" "Patrimoniales" "Patrimoniales" "Jimena Labadie-Champlin" "Centro 4" 162 529 17 456 485 2019-08-16 "Productor 3" "Cuenta 2"
"229" "Centro 4" "Fianzas" "Fianzas" "Mr. North Okuneva Sr." "Centro 4" 445 343 225 412 234 2019-08-17 "Productor 5" "Cuenta 5"
"230" "Centro 5" "Fianzas" "Fianzas" "Dr. Ezequiel Davis" "Centro 5" 380 483 69 285 238 2019-08-18 "Productor 2" "Cuenta 5"
"231" "Centro 4" "Patrimoniales" "Patrimoniales" "Mrs. Gene Sipes" "Centro 4" 482 26 315 452 362 2019-08-19 "Productor 5" "Cuenta 3"
"232" "Centro 2" "Personas" "Personas" "Mathilde Prosacco" "Centro 2" 307 85 441 25 350 2019-08-20 "Productor 3" "Cuenta 1"
"233" "Centro 4" "Fianzas" "Fianzas" "Melissa Lakin" "Centro 4" 163 117 539 180 448 2019-08-21 "Productor 1" "Cuenta 3"
"234" "Centro 1" "Fianzas" "Fianzas" "Shae Conroy-Stanton" "Centro 1" 146 74 300 591 549 2019-08-22 "Productor 2" "Cuenta 1"
"235" "Centro 5" "Fianzas" "Fianzas" "Oney Bode-Leuschke" "Centro 5" 139 491 25 224 371 2019-08-23 "Productor 2" "Cuenta 5"
"236" "Centro 2" "Patrimoniales" "Patrimoniales" "Anne Beatty" "Centro 2" 280 44 568 526 280 2019-08-24 "Productor 5" "Cuenta 1"
"237" "Centro 1" "Auto" "Auto" "Tana Hoppe DVM" "Centro 1" 216 204 341 570 345 2019-08-25 "Productor 2" "Cuenta 1"
"238" "Centro 5" "Auto" "Auto" "Dr. Kimberly Orn" "Centro 5" 85 591 502 331 78 2019-08-26 "Productor 4" "Cuenta 4"
"239" "Centro 2" "Patrimoniales" "Patrimoniales" "Garnett Kertzmann" "Centro 2" 496 52 12 505 532 2019-08-27 "Productor 4" "Cuenta 4"
"240" "Centro 4" "Auto" "Auto" "Miss Janyce Stanton" "Centro 4" 206 167 231 126 182 2019-08-28 "Productor 4" "Cuenta 1"
"241" "Centro 3" "Fianzas" "Fianzas" "Dickie Grimes" "Centro 3" 509 413 167 562 79 2019-08-29 "Productor 2" "Cuenta 4"
"242" "Centro 2" "Salud" "Salud" "Mr. Belton Quigley III" "Centro 2" 287 310 225 141 20 2019-08-30 "Productor 5" "Cuenta 5"
"243" "Centro 1" "Personas" "Personas" "Neveah Kozey" "Centro 1" 377 204 558 138 509 2019-08-31 "Productor 4" "Cuenta 2"
"244" "Centro 5" "Fianzas" "Fianzas" "Colton Moore" "Centro 5" 557 48 408 537 357 2019-09-01 "Productor 3" "Cuenta 5"
"245" "Centro 5" "Fianzas" "Fianzas" "Hunter Collier-Considine" "Centro 5" 554 182 199 285 16 2019-09-02 "Productor 2" "Cuenta 5"
"246" "Centro 4" "Personas" "Personas" "Dr. Ewart Waters DVM" "Centro 4" 501 446 518 452 152 2019-09-03 "Productor 3" "Cuenta 2"
"247" "Centro 3" "Fianzas" "Fianzas" "Mr. Elzy Willms" "Centro 3" 170 230 11 419 322 2019-09-04 "Productor 4" "Cuenta 1"
"248" "Centro 1" "Patrimoniales" "Patrimoniales" "Stanislaus Feest" "Centro 1" 451 472 182 316 521 2019-09-05 "Productor 4" "Cuenta 2"
"249" "Centro 3" "Patrimoniales" "Patrimoniales" "Clay Mante" "Centro 3" 259 71 154 177 342 2019-09-06 "Productor 4" "Cuenta 1"
"250" "Centro 5" "Patrimoniales" "Patrimoniales" "Loy Collier" "Centro 5" 390 270 94 288 247 2019-09-07 "Productor 1" "Cuenta 3"
"251" "Centro 2" "Salud" "Salud" "Rubie Nolan" "Centro 2" 510 188 525 330 400 2019-09-08 "Productor 4" "Cuenta 2"
"252" "Centro 4" "Patrimoniales" "Patrimoniales" "Otis Roob" "Centro 4" 319 67 474 326 154 2019-09-09 "Productor 4" "Cuenta 4"
"253" "Centro 5" "Patrimoniales" "Patrimoniales" "Hollie Cartwright" "Centro 5" 577 194 519 75 128 2019-09-10 "Productor 4" "Cuenta 5"
"254" "Centro 3" "Personas" "Personas" "Lafe Hettinger" "Centro 3" 255 156 50 63 197 2019-09-11 "Productor 4" "Cuenta 2"
"255" "Centro 1" "Salud" "Salud" "Alina Rath" "Centro 1" 467 207 75 476 424 2019-09-12 "Productor 5" "Cuenta 2"
"256" "Centro 3" "Fianzas" "Fianzas" "Eliezer Jenkins" "Centro 3" 426 261 501 423 221 2019-09-13 "Productor 1" "Cuenta 5"
"257" "Centro 1" "Personas" "Personas" "Sister Dicki" "Centro 1" 76 32 302 564 170 2019-09-14 "Productor 2" "Cuenta 4"
"258" "Centro 2" "Personas" "Personas" "Corie Zemlak DVM" "Centro 2" 241 319 169 87 436 2019-09-15 "Productor 3" "Cuenta 5"
"259" "Centro 5" "Auto" "Auto" "Lonie Macejkovic MD" "Centro 5" 48 537 439 92 325 2019-09-16 "Productor 4" "Cuenta 3"
"260" "Centro 1" "Auto" "Auto" "Lera Muller" "Centro 1" 370 193 117 129 593 2019-09-17 "Productor 3" "Cuenta 2"
"261" "Centro 2" "Personas" "Personas" "Dr. Jordon Farrell" "Centro 2" 538 127 401 270 37 2019-09-18 "Productor 3" "Cuenta 5"
"262" "Centro 5" "Fianzas" "Fianzas" "Ms. Annabell Orn MD" "Centro 5" 354 181 212 122 410 2019-09-19 "Productor 1" "Cuenta 2"
"263" "Centro 5" "Fianzas" "Fianzas" "Mrs. Carroll Howell" "Centro 5" 228 153 256 164 337 2019-09-20 "Productor 2" "Cuenta 2"
"264" "Centro 3" "Salud" "Salud" "Lucile Stanton" "Centro 3" 429 341 268 312 475 2019-09-21 "Productor 4" "Cuenta 3"
"265" "Centro 4" "Salud" "Salud" "Affie Orn-Ondricka" "Centro 4" 577 328 417 11 68 2019-09-22 "Productor 2" "Cuenta 1"
"266" "Centro 5" "Fianzas" "Fianzas" "Mr. Anfernee Hills" "Centro 5" 87 393 143 189 441 2019-09-23 "Productor 3" "Cuenta 5"
"267" "Centro 3" "Patrimoniales" "Patrimoniales" "Mrs. Agusta Lakin" "Centro 3" 393 582 180 576 580 2019-09-24 "Productor 4" "Cuenta 2"
"268" "Centro 2" "Fianzas" "Fianzas" "Donita Mayer" "Centro 2" 148 516 106 312 566 2019-09-25 "Productor 5" "Cuenta 5"
"269" "Centro 5" "Fianzas" "Fianzas" "Mr. Ridge Littel MD" "Centro 5" 547 107 319 340 37 2019-09-26 "Productor 1" "Cuenta 5"
"270" "Centro 2" "Fianzas" "Fianzas" "Miss Janay Gaylord" "Centro 2" 207 115 158 85 508 2019-09-27 "Productor 2" "Cuenta 1"
"271" "Centro 2" "Auto" "Auto" "Alvah Ledner" "Centro 2" 212 295 507 106 485 2019-09-28 "Productor 4" "Cuenta 1"
"272" "Centro 3" "Patrimoniales" "Patrimoniales" "Brandyn Rolfson" "Centro 3" 433 351 87 545 69 2019-09-29 "Productor 4" "Cuenta 5"
"273" "Centro 4" "Fianzas" "Fianzas" "Dosha Kihn" "Centro 4" 585 74 337 148 566 2019-09-30 "Productor 1" "Cuenta 1"
"274" "Centro 4" "Personas" "Personas" "Tristen Emmerich" "Centro 4" 484 56 185 287 582 2019-10-01 "Productor 1" "Cuenta 5"
"275" "Centro 1" "Fianzas" "Fianzas" "Erin Goodwin III" "Centro 1" 323 70 591 310 123 2019-10-02 "Productor 3" "Cuenta 5"
"276" "Centro 3" "Auto" "Auto" "Mr. Devonta Hauck" "Centro 3" 261 474 324 524 591 2019-10-03 "Productor 3" "Cuenta 3"
"277" "Centro 4" "Personas" "Personas" "Delma Murray" "Centro 4" 582 194 398 232 447 2019-10-04 "Productor 2" "Cuenta 3"
"278" "Centro 5" "Salud" "Salud" "Vernetta Kutch" "Centro 5" 338 290 233 219 296 2019-10-05 "Productor 3" "Cuenta 2"
"279" "Centro 1" "Fianzas" "Fianzas" "Duncan Altenwerth" "Centro 1" 233 64 194 169 427 2019-10-06 "Productor 2" "Cuenta 3"
"280" "Centro 4" "Auto" "Auto" "Ms. Hattie Hoppe" "Centro 4" 32 64 64 23 1 2019-10-07 "Productor 1" "Cuenta 2"
"281" "Centro 2" "Salud" "Salud" "Madonna Stiedemann" "Centro 2" 254 122 565 378 166 2019-10-08 "Productor 1" "Cuenta 2"
"282" "Centro 3" "Salud" "Salud" "Mrs. Reagan Corkery PhD" "Centro 3" 56 580 148 119 234 2019-10-09 "Productor 5" "Cuenta 1"
"283" "Centro 3" "Salud" "Salud" "Kylah Christiansen" "Centro 3" 526 278 569 480 250 2019-10-10 "Productor 5" "Cuenta 1"
"284" "Centro 3" "Personas" "Personas" "Alby Gutmann" "Centro 3" 302 314 215 119 320 2019-10-11 "Productor 2" "Cuenta 4"
"285" "Centro 2" "Patrimoniales" "Patrimoniales" "Leonel Rippin Jr." "Centro 2" 71 79 313 504 592 2019-10-12 "Productor 1" "Cuenta 2"
"286" "Centro 3" "Salud" "Salud" "Sincere Langosh" "Centro 3" 70 328 490 58 568 2019-10-13 "Productor 1" "Cuenta 5"
"287" "Centro 1" "Auto" "Auto" "Friend O'Conner" "Centro 1" 494 494 366 206 350 2019-10-14 "Productor 2" "Cuenta 3"
"288" "Centro 2" "Personas" "Personas" "Lenny Zieme-Auer" "Centro 2" 397 281 332 81 136 2019-10-15 "Productor 4" "Cuenta 3"
"289" "Centro 3" "Auto" "Auto" "Ellie Conroy" "Centro 3" 198 560 548 281 40 2019-10-16 "Productor 1" "Cuenta 4"
"290" "Centro 4" "Personas" "Personas" "Levina Kunde DVM" "Centro 4" 156 595 417 61 572 2019-10-17 "Productor 3" "Cuenta 3"
"291" "Centro 5" "Salud" "Salud" "Dr. Gilbert Veum" "Centro 5" 589 530 521 544 293 2019-10-18 "Productor 5" "Cuenta 1"
"292" "Centro 1" "Personas" "Personas" "Juston McDermott IV" "Centro 1" 200 282 213 377 599 2019-10-19 "Productor 5" "Cuenta 2"
"293" "Centro 5" "Fianzas" "Fianzas" "Pheobe Rohan" "Centro 5" 182 103 44 76 154 2019-10-20 "Productor 1" "Cuenta 5"
"294" "Centro 3" "Auto" "Auto" "Lorine Gerlach MD" "Centro 3" 366 259 355 490 134 2019-10-21 "Productor 4" "Cuenta 4"
"295" "Centro 3" "Auto" "Auto" "Cassidy Gaylord" "Centro 3" 332 354 57 342 14 2019-10-22 "Productor 3" "Cuenta 2"
"296" "Centro 3" "Salud" "Salud" "Kathy Luettgen" "Centro 3" 70 501 283 404 557 2019-10-23 "Productor 3" "Cuenta 2"
"297" "Centro 3" "Auto" "Auto" "Mrs. Judie Sporer" "Centro 3" 596 45 507 118 4 2019-10-24 "Productor 1" "Cuenta 1"
"298" "Centro 5" "Patrimoniales" "Patrimoniales" "Helena Senger" "Centro 5" 275 14 494 66 216 2019-10-25 "Productor 5" "Cuenta 5"
"299" "Centro 1" "Personas" "Personas" "Ms. Kasandra Effertz PhD" "Centro 1" 247 451 485 567 451 2019-10-26 "Productor 1" "Cuenta 3"
"300" "Centro 2" "Fianzas" "Fianzas" "Mr. Yusuf Hand Sr." "Centro 2" 209 440 115 322 590 2019-10-27 "Productor 2" "Cuenta 2"
"301" "Centro 2" "Patrimoniales" "Patrimoniales" "Judge Gibson" "Centro 2" 322 203 224 93 180 2019-10-28 "Productor 4" "Cuenta 2"
"302" "Centro 3" "Fianzas" "Fianzas" "Mr. Sherrill Ferry Jr." "Centro 3" 495 377 296 472 53 2019-10-29 "Productor 1" "Cuenta 2"
"303" "Centro 1" "Personas" "Personas" "Hershell Hintz" "Centro 1" 99 34 592 571 3 2019-10-30 "Productor 5" "Cuenta 4"
"304" "Centro 5" "Personas" "Personas" "Arlan Blanda" "Centro 5" 306 489 214 411 282 2019-10-31 "Productor 2" "Cuenta 1"
"305" "Centro 5" "Auto" "Auto" "Abner Bauch" "Centro 5" 52 430 224 148 197 2019-11-01 "Productor 3" "Cuenta 2"
"306" "Centro 3" "Patrimoniales" "Patrimoniales" "Mr. Jeramiah Mayer PhD" "Centro 3" 296 229 267 314 526 2019-11-02 "Productor 3" "Cuenta 3"
"307" "Centro 5" "Patrimoniales" "Patrimoniales" "Khari Vandervort DDS" "Centro 5" 284 114 322 177 405 2019-11-03 "Productor 1" "Cuenta 4"
"308" "Centro 2" "Patrimoniales" "Patrimoniales" "Ms. Trina Kunde DDS" "Centro 2" 422 296 192 170 101 2019-11-04 "Productor 5" "Cuenta 5"
"309" "Centro 1" "Personas" "Personas" "Ms. Hilma Mayert" "Centro 1" 100 5 511 213 476 2019-11-05 "Productor 5" "Cuenta 2"
"310" "Centro 3" "Patrimoniales" "Patrimoniales" "Maury Fahey" "Centro 3" 235 449 391 340 443 2019-11-06 "Productor 1" "Cuenta 3"
"311" "Centro 2" "Fianzas" "Fianzas" "Maryanne Glover DVM" "Centro 2" 400 271 353 414 107 2019-11-07 "Productor 2" "Cuenta 5"
"312" "Centro 3" "Fianzas" "Fianzas" "Carleigh Kirlin" "Centro 3" 312 50 585 427 306 2019-11-08 "Productor 2" "Cuenta 1"
"313" "Centro 2" "Salud" "Salud" "Jimena Kozey" "Centro 2" 460 576 94 298 359 2019-11-09 "Productor 3" "Cuenta 2"
"314" "Centro 5" "Fianzas" "Fianzas" "Baylee O'Conner-Koepp" "Centro 5" 44 67 51 587 404 2019-11-10 "Productor 1" "Cuenta 4"
"315" "Centro 4" "Fianzas" "Fianzas" "Dayton Ryan IV" "Centro 4" 418 273 452 283 567 2019-11-11 "Productor 1" "Cuenta 2"
"316" "Centro 3" "Salud" "Salud" "Ethen Marvin III" "Centro 3" 450 107 9 323 297 2019-11-12 "Productor 2" "Cuenta 4"
"317" "Centro 1" "Auto" "Auto" "Dr. Valentine Rogahn" "Centro 1" 470 578 65 540 112 2019-11-13 "Productor 3" "Cuenta 1"
"318" "Centro 4" "Auto" "Auto" "Kathleen Christiansen" "Centro 4" 269 593 583 223 425 2019-11-14 "Productor 3" "Cuenta 2"
"319" "Centro 4" "Auto" "Auto" "Dr. Skyler Weber PhD" "Centro 4" 224 482 556 561 355 2019-11-15 "Productor 3" "Cuenta 1"
"320" "Centro 1" "Personas" "Personas" "Mariann Pfannerstill" "Centro 1" 498 345 440 143 523 2019-11-16 "Productor 3" "Cuenta 3"
"321" "Centro 2" "Salud" "Salud" "Tandy Heidenreich" "Centro 2" 28 539 180 286 565 2019-11-17 "Productor 2" "Cuenta 2"
"322" "Centro 3" "Fianzas" "Fianzas" "Mr. Ferris Jast" "Centro 3" 276 172 66 589 94 2019-11-18 "Productor 2" "Cuenta 5"
"323" "Centro 2" "Auto" "Auto" "Isis Macejkovic MD" "Centro 2" 51 93 500 404 327 2019-11-19 "Productor 4" "Cuenta 3"
"324" "Centro 3" "Salud" "Salud" "Rahul Feil" "Centro 3" 318 136 211 266 5 2019-11-20 "Productor 5" "Cuenta 2"
"325" "Centro 4" "Fianzas" "Fianzas" "Dr. Johnie Davis MD" "Centro 4" 107 430 307 41 544 2019-11-21 "Productor 2" "Cuenta 2"
"326" "Centro 4" "Fianzas" "Fianzas" "Dr. Christopher Gislason DDS" "Centro 4" 213 60 219 217 102 2019-11-22 "Productor 4" "Cuenta 3"
"327" "Centro 5" "Salud" "Salud" "Harriett Hilll" "Centro 5" 142 548 338 554 155 2019-11-23 "Productor 1" "Cuenta 4"
"328" "Centro 1" "Patrimoniales" "Patrimoniales" "Lenna Vandervort" "Centro 1" 91 123 227 249 408 2019-11-24 "Productor 4" "Cuenta 3"
"329" "Centro 5" "Fianzas" "Fianzas" "Jacky Hansen" "Centro 5" 296 201 332 436 216 2019-11-25 "Productor 5" "Cuenta 3"
"330" "Centro 2" "Personas" "Personas" "Mrs. Jasmine Douglas DDS" "Centro 2" 516 439 369 381 331 2019-11-26 "Productor 3" "Cuenta 1"
"331" "Centro 3" "Salud" "Salud" "Noe Predovic" "Centro 3" 130 107 137 354 49 2019-11-27 "Productor 3" "Cuenta 5"
"332" "Centro 5" "Personas" "Personas" "Christin Lockman-Little" "Centro 5" 538 522 84 156 411 2019-11-28 "Productor 1" "Cuenta 5"
"333" "Centro 2" "Salud" "Salud" "Nanci Waters" "Centro 2" 254 434 82 413 576 2019-11-29 "Productor 1" "Cuenta 4"
"334" "Centro 5" "Fianzas" "Fianzas" "Miss Francies Fritsch" "Centro 5" 457 46 338 300 367 2019-11-30 "Productor 2" "Cuenta 1"
"335" "Centro 3" "Personas" "Personas" "Dr. Ericka Pacocha MD" "Centro 3" 308 206 535 489 176 2019-12-01 "Productor 1" "Cuenta 2"
"336" "Centro 1" "Patrimoniales" "Patrimoniales" "Octavio Monahan" "Centro 1" 376 136 260 111 123 2019-12-02 "Productor 1" "Cuenta 4"
"337" "Centro 5" "Personas" "Personas" "Pedro Hahn" "Centro 5" 380 488 285 491 205 2019-12-03 "Productor 4" "Cuenta 5"
"338" "Centro 4" "Personas" "Personas" "Humphrey Zemlak" "Centro 4" 64 433 506 472 66 2019-12-04 "Productor 3" "Cuenta 1"
"339" "Centro 1" "Patrimoniales" "Patrimoniales" "Merlin Kuhn" "Centro 1" 353 45 575 219 33 2019-12-05 "Productor 2" "Cuenta 4"
"340" "Centro 5" "Patrimoniales" "Patrimoniales" "Deshawn Schoen" "Centro 5" 309 377 306 138 28 2019-12-06 "Productor 4" "Cuenta 1"
"341" "Centro 4" "Fianzas" "Fianzas" "Kellee Kessler-Bailey" "Centro 4" 540 587 15 427 522 2019-12-07 "Productor 4" "Cuenta 3"
"342" "Centro 1" "Personas" "Personas" "Fount Schumm Jr." "Centro 1" 578 161 527 421 547 2019-12-08 "Productor 2" "Cuenta 3"
"343" "Centro 1" "Patrimoniales" "Patrimoniales" "Mackenzie Bogan" "Centro 1" 20 183 363 266 330 2019-12-09 "Productor 4" "Cuenta 3"
"344" "Centro 4" "Patrimoniales" "Patrimoniales" "Denisha Smitham" "Centro 4" 372 348 286 213 255 2019-12-10 "Productor 4" "Cuenta 5"
"345" "Centro 1" "Patrimoniales" "Patrimoniales" "Miss Evonne Walker" "Centro 1" 373 265 50 514 106 2019-12-11 "Productor 2" "Cuenta 2"
"346" "Centro 3" "Personas" "Personas" "Semaj Kirlin" "Centro 3" 598 60 160 196 155 2019-12-12 "Productor 4" "Cuenta 1"
"347" "Centro 3" "Personas" "Personas" "Loda Hamill" "Centro 3" 312 182 328 408 423 2019-12-13 "Productor 5" "Cuenta 4"
"348" "Centro 5" "Personas" "Personas" "Cherryl Hills" "Centro 5" 43 402 307 95 54 2019-12-14 "Productor 1" "Cuenta 1"
"349" "Centro 5" "Auto" "Auto" "Gino Gorczany DVM" "Centro 5" 369 443 391 559 387 2019-12-15 "Productor 3" "Cuenta 3"
"350" "Centro 4" "Fianzas" "Fianzas" "Marguerite Stokes" "Centro 4" 566 270 571 252 409 2019-12-16 "Productor 1" "Cuenta 4"
"351" "Centro 4" "Fianzas" "Fianzas" "Mrs. Veta Willms" "Centro 4" 55 91 171 475 526 2019-12-17 "Productor 1" "Cuenta 5"
"352" "Centro 1" "Salud" "Salud" "Ms. Ever O'Conner" "Centro 1" 79 528 64 114 275 2019-12-18 "Productor 2" "Cuenta 1"
"353" "Centro 2" "Auto" "Auto" "Valery Renner DDS" "Centro 2" 195 358 479 10 133 2019-12-19 "Productor 3" "Cuenta 4"
"354" "Centro 2" "Auto" "Auto" "Darin Stroman" "Centro 2" 555 578 565 455 49 2019-12-20 "Productor 1" "Cuenta 1"
"355" "Centro 5" "Salud" "Salud" "Alissa Funk DVM" "Centro 5" 104 165 11 490 431 2019-12-21 "Productor 4" "Cuenta 1"
"356" "Centro 1" "Personas" "Personas" "Ronaldo Wolff-Boyle" "Centro 1" 581 585 480 409 150 2019-12-22 "Productor 5" "Cuenta 2"
"357" "Centro 2" "Salud" "Salud" "Osie Fahey" "Centro 2" 572 152 446 298 139 2019-12-23 "Productor 3" "Cuenta 3"
"358" "Centro 1" "Patrimoniales" "Patrimoniales" "Dr. Sherrie Ankunding DDS" "Centro 1" 204 318 165 234 446 2019-12-24 "Productor 3" "Cuenta 4"
"359" "Centro 3" "Fianzas" "Fianzas" "Lilian Harber" "Centro 3" 171 5 595 344 203 2019-12-25 "Productor 1" "Cuenta 1"
"360" "Centro 3" "Salud" "Salud" "Frances Stamm-Von" "Centro 3" 32 148 37 38 416 2019-12-26 "Productor 5" "Cuenta 3"
"361" "Centro 4" "Fianzas" "Fianzas" "Mr. Fleet Volkman" "Centro 4" 92 436 272 594 142 2019-12-27 "Productor 3" "Cuenta 3"
