"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Recuperaciones" "Comisiones e Incentivos Pagados" "Gastos Directos del Ramo" "Resultado Técnico Antes de Gasto" "Siniestralidad" "Fecha" "productor" "cuentas_esp"
"168" "Centro 3" "Fianzas" "Fianzas" "Kathleen Senger-Trantow" 385 50 469 484 324 277 211 215 76 443 519 2019-06-17 "Productor 3" "Cuenta 1"
"169" "Centro 5" "Personas" "Personas" "Babe Nader" 46 321 148 54 28 552 91 443 301 385 136 2019-06-18 "Productor 3" "Cuenta 4"
"170" "Centro 2" "Patrimoniales" "Patrimoniales" "Mrs. Sena Strosin" 266 115 556 208 7 296 142 370 409 115 486 2019-06-19 "Productor 2" "Cuenta 5"
"171" "Centro 4" "Personas" "Personas" "Arlan Koch" 417 75 341 496 250 446 574 54 70 145 76 2019-06-20 "Productor 3" "Cuenta 5"
"172" "Centro 4" "Fianzas" "Fianzas" "Warner Nitzsche" 248 431 135 388 189 480 56 308 229 329 89 2019-06-21 "Productor 5" "Cuenta 2"
"173" "Centro 1" "Salud" "Salud" "Dr. Parrish Sauer DVM" 552 52 131 140 473 20 198 412 154 340 133 2019-06-22 "Productor 1" "Cuenta 4"
"174" "Centro 3" "Personas" "Personas" "Yuridia Okuneva" 389 282 492 261 345 282 252 477 271 115 282 2019-06-23 "Productor 2" "Cuenta 2"
"175" "Centro 5" "Auto" "Auto" "Arianna Lowe" 461 246 543 228 148 272 500 307 343 165 309 2019-06-24 "Productor 2" "Cuenta 4"
"176" "Centro 1" "Auto" "Auto" "Gilmore Romaguera" 128 96 206 590 456 41 456 478 126 220 530 2019-06-25 "Productor 3" "Cuenta 2"
"177" "Centro 5" "Salud" "Salud" "Sunshine Ruecker" 568 112 273 318 96 153 259 291 510 549 52 2019-06-26 "Productor 2" "Cuenta 3"
"178" "Centro 5" "Fianzas" "Fianzas" "Bret McClure V" 469 524 255 30 424 185 182 65 439 44 263 2019-06-27 "Productor 3" "Cuenta 1"
"179" "Centro 1" "Salud" "Salud" "Miss Myrtice Rice MD" 132 354 249 102 233 526 563 552 469 573 127 2019-06-28 "Productor 4" "Cuenta 2"
"180" "Centro 5" "Auto" "Auto" "Elmire Olson" 239 440 185 277 284 316 96 263 546 212 369 2019-06-29 "Productor 5" "Cuenta 1"
"181" "Centro 4" "Fianzas" "Fianzas" "Jo Greenfelder PhD" 530 470 237 21 573 532 455 148 301 160 25 2019-06-30 "Productor 1" "Cuenta 4"
"182" "Centro 1" "Fianzas" "Fianzas" "Evalena Stanton" 228 195 267 95 37 461 319 335 521 41 71 2019-07-01 "Productor 1" "Cuenta 2"
"183" "Centro 5" "Auto" "Auto" "Miss Shanelle Roberts MD" 111 105 471 537 399 380 59 459 325 506 174 2019-07-02 "Productor 2" "Cuenta 2"
"184" "Centro 4" "Fianzas" "Fianzas" "Gaylene Ryan" 495 440 197 146 162 383 336 241 403 453 374 2019-07-03 "Productor 4" "Cuenta 2"
"185" "Centro 5" "Salud" "Salud" "Chelsey Satterfield" 535 516 334 201 578 272 589 389 386 317 574 2019-07-04 "Productor 4" "Cuenta 3"
"186" "Centro 5" "Salud" "Salud" "Lacey Cole" 22 326 55 226 289 507 588 354 453 108 94 2019-07-05 "Productor 4" "Cuenta 2"
"187" "Centro 2" "Patrimoniales" "Patrimoniales" "Charles Berge" 299 140 584 582 298 164 227 151 176 371 307 2019-07-06 "Productor 4" "Cuenta 2"
"188" "Centro 5" "Personas" "Personas" "River Paucek" 52 101 103 453 349 568 423 136 504 273 238 2019-07-07 "Productor 2" "Cuenta 3"
"189" "Centro 2" "Patrimoniales" "Patrimoniales" "Mr. Erwin Lesch DDS" 43 535 390 496 165 165 551 352 250 237 90 2019-07-08 "Productor 5" "Cuenta 1"
"190" "Centro 1" "Patrimoniales" "Patrimoniales" "Nicklaus Brown" 358 408 326 223 553 324 373 203 346 436 69 2019-07-09 "Productor 3" "Cuenta 3"
"191" "Centro 5" "Patrimoniales" "Patrimoniales" "Debroah Gerlach" 315 335 199 296 366 336 269 313 266 407 137 2019-07-10 "Productor 5" "Cuenta 1"
"192" "Centro 5" "Auto" "Auto" "Sudie Smith" 40 407 26 205 211 24 454 539 415 184 375 2019-07-11 "Productor 5" "Cuenta 5"
"193" "Centro 3" "Fianzas" "Fianzas" "Hulda Ferry" 377 498 214 16 279 87 417 136 188 68 344 2019-07-12 "Productor 4" "Cuenta 4"
"194" "Centro 3" "Personas" "Personas" "Miriah Stoltenberg" 529 385 442 490 15 253 156 12 51 394 126 2019-07-13 "Productor 3" "Cuenta 5"
"195" "Centro 5" "Auto" "Auto" "Eleanore Borer" 450 232 160 228 364 522 595 565 465 46 518 2019-07-14 "Productor 1" "Cuenta 5"
"196" "Centro 3" "Salud" "Salud" "Jeffrey Kshlerin" 327 456 373 288 312 106 595 86 375 242 60 2019-07-15 "Productor 3" "Cuenta 5"
"197" "Centro 1" "Personas" "Personas" "Miss Citlali Jerde" 29 96 465 410 387 590 508 469 260 35 218 2019-07-16 "Productor 1" "Cuenta 2"
"198" "Centro 5" "Salud" "Salud" "Ofelia Auer" 102 259 501 129 313 147 399 442 179 357 503 2019-07-17 "Productor 4" "Cuenta 4"
"199" "Centro 1" "Fianzas" "Fianzas" "Dr. Bedford Rodriguez I" 401 18 69 380 75 311 101 577 439 22 345 2019-07-18 "Productor 5" "Cuenta 3"
"200" "Centro 5" "Fianzas" "Fianzas" "Mr. Broderick Jones I" 465 117 99 79 369 312 272 31 117 555 310 2019-07-19 "Productor 1" "Cuenta 1"
"201" "Centro 5" "Personas" "Personas" "Donat Waters" 378 107 245 27 580 44 276 266 240 596 222 2019-07-20 "Productor 3" "Cuenta 4"
"202" "Centro 2" "Personas" "Personas" "Ms. Beckie Schmitt DVM" 223 449 512 398 249 542 440 312 338 277 250 2019-07-21 "Productor 3" "Cuenta 5"
"203" "Centro 4" "Personas" "Personas" "Eris Jones" 1 43 542 408 12 293 467 39 159 528 303 2019-07-22 "Productor 4" "Cuenta 5"
"204" "Centro 3" "Fianzas" "Fianzas" "Violet Sanford" 147 174 545 95 211 219 302 89 557 204 347 2019-07-23 "Productor 2" "Cuenta 5"
"205" "Centro 4" "Patrimoniales" "Patrimoniales" "Daneen Altenwerth PhD" 47 436 271 358 356 192 592 120 74 193 303 2019-07-24 "Productor 1" "Cuenta 2"
"206" "Centro 3" "Personas" "Personas" "Miss Ayla Yost MD" 401 27 575 301 295 245 403 512 149 540 184 2019-07-25 "Productor 2" "Cuenta 4"
"207" "Centro 4" "Personas" "Personas" "Makenna McDermott" 125 292 345 543 325 488 544 160 169 348 321 2019-07-26 "Productor 3" "Cuenta 3"
"208" "Centro 5" "Fianzas" "Fianzas" "Kylah O'Connell DVM" 193 114 246 599 517 169 293 541 463 289 25 2019-07-27 "Productor 4" "Cuenta 2"
"209" "Centro 3" "Auto" "Auto" "Irwin Fisher" 344 448 429 58 567 318 417 397 573 180 248 2019-07-28 "Productor 5" "Cuenta 4"
"210" "Centro 1" "Personas" "Personas" "Mr. Ahmad Kessler DDS" 531 543 61 494 437 570 16 516 589 528 587 2019-07-29 "Productor 4" "Cuenta 2"
"211" "Centro 2" "Personas" "Personas" "Ann Pouros" 80 569 445 224 483 512 526 171 315 278 595 2019-07-30 "Productor 5" "Cuenta 4"
"212" "Centro 5" "Auto" "Auto" "Carsen Ruecker" 224 551 173 570 361 258 589 570 118 488 448 2019-07-31 "Productor 2" "Cuenta 3"
"213" "Centro 1" "Fianzas" "Fianzas" "Jewel Lubowitz MD" 204 226 421 205 325 411 95 199 116 406 61 2019-08-01 "Productor 4" "Cuenta 2"
"214" "Centro 4" "Salud" "Salud" "Daria Gulgowski" 174 572 215 198 99 176 328 354 431 198 156 2019-08-02 "Productor 4" "Cuenta 2"
"215" "Centro 5" "Salud" "Salud" "Sandy Zemlak" 511 195 426 272 307 421 464 33 99 558 173 2019-08-03 "Productor 5" "Cuenta 4"
"216" "Centro 3" "Auto" "Auto" "Ian McGlynn" 448 331 232 242 28 454 362 401 496 217 413 2019-08-04 "Productor 1" "Cuenta 4"
"217" "Centro 2" "Auto" "Auto" "Mr. Beckett Champlin" 353 122 139 325 125 497 549 489 414 477 376 2019-08-05 "Productor 2" "Cuenta 3"
"218" "Centro 4" "Salud" "Salud" "Mrs. Adella Stracke" 105 158 359 194 53 22 446 399 35 336 549 2019-08-06 "Productor 2" "Cuenta 3"
"219" "Centro 5" "Patrimoniales" "Patrimoniales" "Litha Bauch" 282 376 182 149 37 77 61 32 442 562 405 2019-08-07 "Productor 1" "Cuenta 3"
"220" "Centro 2" "Personas" "Personas" "Taina Harris" 171 419 51 49 354 391 546 83 498 450 23 2019-08-08 "Productor 1" "Cuenta 3"
"221" "Centro 1" "Personas" "Personas" "Mr. Corry Herzog I" 302 160 125 326 45 467 368 446 157 445 34 2019-08-09 "Productor 3" "Cuenta 1"
"222" "Centro 5" "Personas" "Personas" "Ms. Leana Fahey" 165 586 382 306 495 212 538 570 317 271 12 2019-08-10 "Productor 1" "Cuenta 5"
"223" "Centro 4" "Auto" "Auto" "Alberto Goyette" 162 364 0 513 297 53 155 231 151 489 561 2019-08-11 "Productor 2" "Cuenta 1"
"224" "Centro 1" "Auto" "Auto" "Britt Purdy" 416 179 206 19 305 176 241 287 375 585 35 2019-08-12 "Productor 1" "Cuenta 3"
"225" "Centro 5" "Auto" "Auto" "Alvan Wyman" 45 410 116 454 10 228 315 215 521 16 375 2019-08-13 "Productor 2" "Cuenta 5"
"226" "Centro 4" "Fianzas" "Fianzas" "Dr. Watson Herzog" 174 412 31 169 366 334 505 310 278 430 276 2019-08-14 "Productor 5" "Cuenta 4"
"227" "Centro 2" "Auto" "Auto" "Mrs. Marlena Schinner MD" 62 178 31 510 548 107 405 373 320 125 129 2019-08-15 "Productor 5" "Cuenta 5"
"228" "Centro 4" "Personas" "Personas" "Kendrick Ortiz" 519 523 424 110 308 599 417 428 375 53 531 2019-08-16 "Productor 1" "Cuenta 1"
"229" "Centro 4" "Patrimoniales" "Patrimoniales" "Winfred Bartoletti Sr." 97 251 78 454 121 224 286 353 362 100 185 2019-08-17 "Productor 1" "Cuenta 1"
"230" "Centro 1" "Auto" "Auto" "Shellie Stehr DVM" 269 484 308 254 362 14 587 282 0 264 118 2019-08-18 "Productor 3" "Cuenta 2"
"231" "Centro 3" "Auto" "Auto" "Philomene Beatty" 370 294 102 30 183 63 367 165 163 464 362 2019-08-19 "Productor 5" "Cuenta 2"
"232" "Centro 3" "Patrimoniales" "Patrimoniales" "Sena Green" 376 570 66 308 522 133 100 27 175 557 538 2019-08-20 "Productor 2" "Cuenta 3"
"233" "Centro 3" "Patrimoniales" "Patrimoniales" "Ms. Barbra Hettinger DDS" 26 376 15 43 453 302 457 225 71 553 574 2019-08-21 "Productor 2" "Cuenta 1"
"234" "Centro 1" "Personas" "Personas" "Alto Maggio" 488 491 266 275 357 3 196 210 87 558 574 2019-08-22 "Productor 3" "Cuenta 1"
"235" "Centro 3" "Salud" "Salud" "Jory Koelpin PhD" 133 447 429 314 34 265 349 207 528 246 564 2019-08-23 "Productor 4" "Cuenta 1"
"236" "Centro 5" "Patrimoniales" "Patrimoniales" "Rolla Hand" 303 335 154 209 258 416 593 22 596 537 7 2019-08-24 "Productor 5" "Cuenta 1"
"237" "Centro 3" "Patrimoniales" "Patrimoniales" "Ilma Hickle" 1 366 487 227 354 91 224 49 13 492 322 2019-08-25 "Productor 1" "Cuenta 2"
"238" "Centro 3" "Auto" "Auto" "Pearl Koepp" 170 507 458 328 64 206 239 217 541 449 157 2019-08-26 "Productor 4" "Cuenta 4"
"239" "Centro 3" "Auto" "Auto" "Marland Hane DVM" 0 435 273 236 385 136 35 201 154 232 193 2019-08-27 "Productor 3" "Cuenta 4"
"240" "Centro 3" "Salud" "Salud" "Lizzie Wisozk" 522 74 1 543 151 451 142 73 330 230 40 2019-08-28 "Productor 1" "Cuenta 5"
"241" "Centro 4" "Patrimoniales" "Patrimoniales" "Anya Renner" 181 392 359 524 506 327 199 99 549 56 448 2019-08-29 "Productor 4" "Cuenta 4"
"242" "Centro 1" "Fianzas" "Fianzas" "Melvyn Luettgen" 498 261 486 367 440 508 511 79 113 468 255 2019-08-30 "Productor 3" "Cuenta 4"
"243" "Centro 3" "Fianzas" "Fianzas" "Murry Russel" 248 452 224 315 12 267 204 114 451 311 508 2019-08-31 "Productor 4" "Cuenta 4"
"244" "Centro 5" "Salud" "Salud" "Dr. Felice Klein" 77 11 305 408 119 424 398 180 391 530 456 2019-09-01 "Productor 4" "Cuenta 2"
"245" "Centro 3" "Patrimoniales" "Patrimoniales" "Marin Blick" 176 91 485 521 455 210 346 464 199 47 286 2019-09-02 "Productor 1" "Cuenta 3"
"246" "Centro 2" "Fianzas" "Fianzas" "Orrie Hirthe" 69 219 494 271 373 34 348 178 233 455 421 2019-09-03 "Productor 4" "Cuenta 5"
"247" "Centro 3" "Personas" "Personas" "Mrs. Alaya Reichel DVM" 440 284 13 9 94 337 107 297 461 579 133 2019-09-04 "Productor 3" "Cuenta 5"
"248" "Centro 1" "Salud" "Salud" "Dr. Carmelo Swift" 163 557 309 229 398 204 277 544 357 530 378 2019-09-05 "Productor 1" "Cuenta 4"
"249" "Centro 5" "Patrimoniales" "Patrimoniales" "Naomi Ortiz" 47 499 586 437 521 543 329 247 560 35 400 2019-09-06 "Productor 4" "Cuenta 5"
"250" "Centro 2" "Auto" "Auto" "Lisha Koepp" 339 99 188 440 290 208 533 558 96 538 379 2019-09-07 "Productor 3" "Cuenta 3"
"251" "Centro 2" "Personas" "Personas" "Dr. Audy Towne Jr." 245 100 124 158 207 41 565 244 299 33 179 2019-09-08 "Productor 5" "Cuenta 5"
"252" "Centro 3" "Salud" "Salud" "Kristin Torp" 286 600 291 62 138 36 572 251 154 376 425 2019-09-09 "Productor 4" "Cuenta 4"
"253" "Centro 2" "Fianzas" "Fianzas" "Colonel Luettgen" 360 573 169 369 263 327 535 206 506 511 576 2019-09-10 "Productor 2" "Cuenta 2"
"254" "Centro 1" "Salud" "Salud" "Gaye Morissette" 565 301 277 494 555 170 122 572 551 595 242 2019-09-11 "Productor 4" "Cuenta 3"
"255" "Centro 3" "Personas" "Personas" "Jamal McKenzie" 309 527 375 279 589 280 23 474 174 303 122 2019-09-12 "Productor 5" "Cuenta 4"
"256" "Centro 5" "Salud" "Salud" "Ronny Rath" 347 370 107 353 236 263 374 38 379 252 153 2019-09-13 "Productor 4" "Cuenta 1"
"257" "Centro 2" "Personas" "Personas" "Larkin Herman" 99 446 67 23 22 543 144 261 429 405 271 2019-09-14 "Productor 3" "Cuenta 5"
"258" "Centro 2" "Fianzas" "Fianzas" "Tami Ondricka" 295 563 567 277 313 12 347 261 343 260 74 2019-09-15 "Productor 1" "Cuenta 3"
"259" "Centro 5" "Patrimoniales" "Patrimoniales" "Tresa Grant-Bruen" 84 277 540 593 191 485 561 509 523 4 398 2019-09-16 "Productor 1" "Cuenta 1"
"260" "Centro 4" "Patrimoniales" "Patrimoniales" "Odell Larson-Bernier" 347 292 222 174 476 285 422 64 72 181 261 2019-09-17 "Productor 4" "Cuenta 2"
"261" "Centro 3" "Patrimoniales" "Patrimoniales" "Emilia Nikolaus" 160 171 379 81 554 127 280 496 483 501 438 2019-09-18 "Productor 1" "Cuenta 4"
"262" "Centro 1" "Salud" "Salud" "Elise Schultz" 59 556 149 347 3 107 333 195 257 174 284 2019-09-19 "Productor 4" "Cuenta 2"
"263" "Centro 3" "Personas" "Personas" "Bertram Hoppe" 507 482 112 136 386 188 150 144 541 376 212 2019-09-20 "Productor 1" "Cuenta 3"
"264" "Centro 4" "Patrimoniales" "Patrimoniales" "Lasonya Parker" 582 534 358 295 428 215 291 246 144 370 286 2019-09-21 "Productor 2" "Cuenta 1"
"265" "Centro 3" "Patrimoniales" "Patrimoniales" "Dr. Keenen Leannon I" 408 108 387 398 360 6 171 329 23 420 385 2019-09-22 "Productor 1" "Cuenta 3"
"266" "Centro 3" "Patrimoniales" "Patrimoniales" "Kennedy Pacocha" 349 103 466 141 487 371 73 510 67 418 540 2019-09-23 "Productor 2" "Cuenta 5"
"267" "Centro 3" "Patrimoniales" "Patrimoniales" "Enola Weber MD" 169 1 291 318 125 423 286 350 307 399 333 2019-09-24 "Productor 3" "Cuenta 4"
"268" "Centro 2" "Salud" "Salud" "Ethyl Bergnaum" 323 457 103 15 509 492 190 490 392 548 406 2019-09-25 "Productor 2" "Cuenta 1"
"269" "Centro 5" "Auto" "Auto" "Kian Johns" 513 159 436 408 544 276 585 537 595 152 31 2019-09-26 "Productor 2" "Cuenta 2"
"270" "Centro 3" "Salud" "Salud" "Kali Hessel" 301 276 67 112 457 576 539 102 599 57 36 2019-09-27 "Productor 5" "Cuenta 3"
"271" "Centro 2" "Salud" "Salud" "Tandy Prosacco" 265 448 512 511 322 560 405 504 177 103 516 2019-09-28 "Productor 4" "Cuenta 3"
"272" "Centro 5" "Auto" "Auto" "Oneal Beer" 374 189 514 593 171 57 80 327 82 32 504 2019-09-29 "Productor 4" "Cuenta 5"
"273" "Centro 5" "Patrimoniales" "Patrimoniales" "Charline Schulist DVM" 227 474 176 294 294 186 309 404 371 86 284 2019-09-30 "Productor 3" "Cuenta 4"
"274" "Centro 4" "Personas" "Personas" "Taylor Marvin" 72 243 522 572 510 247 327 375 368 529 531 2019-10-01 "Productor 4" "Cuenta 1"
"275" "Centro 2" "Auto" "Auto" "Epifanio Altenwerth" 447 386 360 363 254 181 327 123 409 517 309 2019-10-02 "Productor 2" "Cuenta 1"
"276" "Centro 3" "Salud" "Salud" "Ilona Wisoky" 224 175 391 280 543 147 578 8 21 508 599 2019-10-03 "Productor 4" "Cuenta 4"
"277" "Centro 1" "Salud" "Salud" "Rikki DuBuque-Anderson" 577 208 134 144 334 478 30 84 360 94 152 2019-10-04 "Productor 4" "Cuenta 3"
"278" "Centro 2" "Personas" "Personas" "Cristofer Durgan" 536 309 416 356 363 584 170 414 252 429 230 2019-10-05 "Productor 1" "Cuenta 2"
"279" "Centro 2" "Salud" "Salud" "Darryle Grant" 207 522 378 303 548 62 373 312 507 304 190 2019-10-06 "Productor 2" "Cuenta 1"
"280" "Centro 3" "Personas" "Personas" "Dr. Erika Emmerich" 369 426 116 144 65 429 238 350 352 532 550 2019-10-07 "Productor 5" "Cuenta 2"
"281" "Centro 3" "Salud" "Salud" "Essa Grant-Wolff" 51 111 292 416 546 35 445 337 54 30 11 2019-10-08 "Productor 2" "Cuenta 4"
"282" "Centro 5" "Personas" "Personas" "Bina Macejkovic" 461 563 45 236 127 207 558 286 590 556 570 2019-10-09 "Productor 3" "Cuenta 1"
"283" "Centro 3" "Salud" "Salud" "Nyree O'Kon" 532 586 131 375 65 54 297 494 10 466 566 2019-10-10 "Productor 4" "Cuenta 2"
"284" "Centro 3" "Personas" "Personas" "Ms. Emaline Weimann" 481 479 294 250 56 217 64 397 27 470 282 2019-10-11 "Productor 3" "Cuenta 3"
"285" "Centro 2" "Salud" "Salud" "Doretta Hackett" 259 0 28 335 183 452 251 118 278 370 464 2019-10-12 "Productor 4" "Cuenta 1"
"286" "Centro 3" "Auto" "Auto" "Earnest Kovacek" 37 434 257 276 499 552 127 576 341 578 599 2019-10-13 "Productor 2" "Cuenta 3"
"287" "Centro 2" "Personas" "Personas" "Johnna Bradtke" 530 116 124 458 281 508 388 358 530 488 22 2019-10-14 "Productor 5" "Cuenta 4"
"288" "Centro 3" "Fianzas" "Fianzas" "Starla Kilback" 352 428 265 84 380 453 29 180 154 535 592 2019-10-15 "Productor 4" "Cuenta 3"
"289" "Centro 2" "Patrimoniales" "Patrimoniales" "Fielding Champlin" 520 162 451 209 515 126 500 232 79 204 425 2019-10-16 "Productor 1" "Cuenta 3"
"290" "Centro 5" "Salud" "Salud" "Ms. Norita Marks PhD" 48 238 382 270 98 500 163 371 131 285 252 2019-10-17 "Productor 2" "Cuenta 3"
"291" "Centro 1" "Auto" "Auto" "Kristofer Reichel" 459 227 424 485 36 158 600 331 417 109 415 2019-10-18 "Productor 1" "Cuenta 3"
"292" "Centro 4" "Auto" "Auto" "Mrs. Jenna Schmitt DDS" 388 184 330 402 298 432 311 340 446 181 292 2019-10-19 "Productor 1" "Cuenta 1"
"293" "Centro 1" "Auto" "Auto" "Cannie Jacobs-Flatley" 267 358 81 511 562 584 5 571 347 330 87 2019-10-20 "Productor 5" "Cuenta 5"
"294" "Centro 3" "Personas" "Personas" "Meaghan O'Reilly" 306 533 83 146 119 558 30 255 159 31 558 2019-10-21 "Productor 1" "Cuenta 2"
"295" "Centro 4" "Fianzas" "Fianzas" "Clint Towne-Schultz" 119 263 171 180 120 343 163 125 441 302 417 2019-10-22 "Productor 4" "Cuenta 3"
"296" "Centro 1" "Fianzas" "Fianzas" "Mrs. Payten Gibson DVM" 152 261 304 105 579 463 88 278 267 426 94 2019-10-23 "Productor 4" "Cuenta 5"
"297" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Hasan Nikolaus V" 376 524 252 70 168 455 326 572 223 202 21 2019-10-24 "Productor 3" "Cuenta 4"
"298" "Centro 1" "Fianzas" "Fianzas" "Edmund Toy-Renner" 165 261 268 390 461 276 467 327 442 367 481 2019-10-25 "Productor 5" "Cuenta 5"
"299" "Centro 1" "Auto" "Auto" "Dr. Lillard Pfannerstill" 27 389 37 329 554 345 505 321 458 509 298 2019-10-26 "Productor 2" "Cuenta 5"
"300" "Centro 5" "Personas" "Personas" "Kaylyn Monahan" 64 46 514 206 220 584 597 243 394 597 422 2019-10-27 "Productor 3" "Cuenta 3"
"301" "Centro 2" "Personas" "Personas" "Staci Thiel" 348 237 27 103 401 72 138 5 1 42 539 2019-10-28 "Productor 2" "Cuenta 3"
"302" "Centro 2" "Salud" "Salud" "Cailyn Brakus MD" 113 554 130 336 32 14 343 31 149 393 186 2019-10-29 "Productor 1" "Cuenta 1"
"303" "Centro 1" "Salud" "Salud" "Karma Wiegand" 155 531 0 208 211 212 252 461 96 591 592 2019-10-30 "Productor 4" "Cuenta 5"
"304" "Centro 1" "Fianzas" "Fianzas" "Dr. Guido Walker" 49 352 60 173 409 111 564 444 306 307 286 2019-10-31 "Productor 1" "Cuenta 3"
"305" "Centro 3" "Fianzas" "Fianzas" "Clair Waelchi" 387 576 257 599 16 487 20 100 280 263 44 2019-11-01 "Productor 1" "Cuenta 3"
"306" "Centro 3" "Personas" "Personas" "Jovanny Tromp" 32 15 179 320 81 535 307 232 436 6 394 2019-11-02 "Productor 4" "Cuenta 3"
"307" "Centro 1" "Patrimoniales" "Patrimoniales" "Margarete Schimmel DVM" 149 61 459 531 330 417 150 23 177 46 66 2019-11-03 "Productor 4" "Cuenta 4"
"308" "Centro 4" "Fianzas" "Fianzas" "Cletus Langworth" 435 19 282 217 245 357 518 339 268 126 266 2019-11-04 "Productor 5" "Cuenta 4"
"309" "Centro 3" "Patrimoniales" "Patrimoniales" "Lige Bogan" 543 254 401 367 212 190 590 111 59 512 136 2019-11-05 "Productor 1" "Cuenta 2"
"310" "Centro 5" "Patrimoniales" "Patrimoniales" "Letitia Weber" 506 42 407 168 563 397 565 500 309 287 68 2019-11-06 "Productor 4" "Cuenta 5"
"311" "Centro 4" "Salud" "Salud" "Dr. Kylene Hauck PhD" 254 511 427 210 120 334 529 252 62 59 202 2019-11-07 "Productor 1" "Cuenta 5"
"312" "Centro 2" "Auto" "Auto" "Willian Pfeffer" 43 179 346 426 157 404 173 184 46 433 70 2019-11-08 "Productor 3" "Cuenta 3"
"313" "Centro 4" "Fianzas" "Fianzas" "Yajaira Heathcote" 136 572 55 364 250 70 502 181 491 58 181 2019-11-09 "Productor 4" "Cuenta 1"
"314" "Centro 2" "Personas" "Personas" "Cristobal Yost" 416 138 266 418 336 58 345 496 440 405 312 2019-11-10 "Productor 1" "Cuenta 1"
"315" "Centro 4" "Auto" "Auto" "Josiephine Greenholt" 214 313 465 163 215 489 89 576 181 543 34 2019-11-11 "Productor 2" "Cuenta 4"
"316" "Centro 5" "Salud" "Salud" "Ronald Lakin" 482 587 440 220 299 52 230 467 449 80 2 2019-11-12 "Productor 5" "Cuenta 3"
"317" "Centro 4" "Patrimoniales" "Patrimoniales" "Ewin Fisher" 223 170 275 304 0 133 22 25 534 220 230 2019-11-13 "Productor 5" "Cuenta 1"
"318" "Centro 4" "Salud" "Salud" "Amil Roob" 286 555 504 343 300 530 313 247 530 597 121 2019-11-14 "Productor 3" "Cuenta 2"
"319" "Centro 2" "Salud" "Salud" "Victor Rippin" 154 31 87 194 316 513 501 574 250 426 578 2019-11-15 "Productor 5" "Cuenta 4"
"320" "Centro 1" "Salud" "Salud" "Johnnie Ledner I" 270 188 516 263 570 320 488 58 108 133 7 2019-11-16 "Productor 2" "Cuenta 2"
"321" "Centro 3" "Auto" "Auto" "Ms. Alverta Veum" 157 571 272 344 10 285 419 455 248 214 334 2019-11-17 "Productor 2" "Cuenta 5"
"322" "Centro 1" "Patrimoniales" "Patrimoniales" "Debra Fahey" 43 53 493 90 344 324 379 395 392 600 94 2019-11-18 "Productor 2" "Cuenta 4"
"323" "Centro 2" "Patrimoniales" "Patrimoniales" "Mr. Jadyn Wolf Jr." 576 83 575 29 531 64 564 60 585 243 217 2019-11-19 "Productor 2" "Cuenta 3"
"324" "Centro 1" "Personas" "Personas" "Jarrad Kuhic" 163 351 542 98 62 471 51 265 372 579 586 2019-11-20 "Productor 3" "Cuenta 3"
"325" "Centro 1" "Auto" "Auto" "Bessie Conroy PhD" 129 2 301 83 464 484 370 42 521 413 568 2019-11-21 "Productor 5" "Cuenta 2"
"326" "Centro 3" "Patrimoniales" "Patrimoniales" "Ephram Heathcote" 355 181 376 489 292 484 528 96 13 258 314 2019-11-22 "Productor 5" "Cuenta 5"
"327" "Centro 2" "Patrimoniales" "Patrimoniales" "Merton Johns" 416 94 33 349 271 104 414 439 89 285 478 2019-11-23 "Productor 1" "Cuenta 1"
"328" "Centro 5" "Fianzas" "Fianzas" "Suzie Spencer" 5 44 505 32 558 362 107 144 442 454 241 2019-11-24 "Productor 5" "Cuenta 5"
"329" "Centro 1" "Salud" "Salud" "Fidencio Bergstrom" 44 265 299 49 3 449 99 146 376 445 175 2019-11-25 "Productor 2" "Cuenta 4"
"330" "Centro 5" "Salud" "Salud" "Samantha Treutel-White" 254 556 548 14 331 1 366 33 554 493 221 2019-11-26 "Productor 1" "Cuenta 5"
"331" "Centro 1" "Patrimoniales" "Patrimoniales" "Kaci Schowalter" 67 267 469 304 586 503 384 271 119 576 554 2019-11-27 "Productor 5" "Cuenta 4"
"332" "Centro 1" "Personas" "Personas" "Dr. Diego Schmidt" 580 32 81 476 374 468 549 178 507 132 459 2019-11-28 "Productor 1" "Cuenta 1"
"333" "Centro 3" "Personas" "Personas" "Dr. Whitney Volkman DDS" 564 268 177 310 147 206 287 552 317 215 400 2019-11-29 "Productor 4" "Cuenta 2"
"334" "Centro 1" "Personas" "Personas" "Genaro Bashirian" 244 249 402 32 585 397 118 415 403 571 246 2019-11-30 "Productor 4" "Cuenta 5"
"335" "Centro 5" "Salud" "Salud" "Shelvia Herzog" 271 302 207 524 386 315 300 292 212 599 452 2019-12-01 "Productor 1" "Cuenta 1"
"336" "Centro 1" "Auto" "Auto" "Mr. Vere Kris PhD" 61 406 412 171 151 388 320 156 434 22 18 2019-12-02 "Productor 2" "Cuenta 2"
"337" "Centro 4" "Salud" "Salud" "Mr. Roe Konopelski" 265 450 286 514 589 246 374 597 26 571 598 2019-12-03 "Productor 4" "Cuenta 2"
